org,repo,workflow,ref,url,runner,self_hosted,supported
awslabs,AutoCorrode,.github/workflows/cd.yml,main,https://github.com/awslabs/AutoCorrode/blob/4310dbcea8f7bacd9b44fc5e7b50dab2a3000223/.github/workflows/cd.yml,ubuntu-latest,0,1
awslabs,AutoCorrode,.github/workflows/ci.yml,main,https://github.com/awslabs/AutoCorrode/blob/4310dbcea8f7bacd9b44fc5e7b50dab2a3000223/.github/workflows/ci.yml,ubuntu-latest,0,1
awslabs,Git_llm_pick,.github/workflows/basic-ci.yml,main,https://github.com/awslabs/Git_llm_pick/blob/59904f23a59a9bd4147312b017eae64f9484a0e6/.github/workflows/basic-ci.yml,ubuntu-latest,0,1
awslabs,Git_llm_pick,.github/workflows/codeql.yml,main,https://github.com/awslabs/Git_llm_pick/blob/59904f23a59a9bd4147312b017eae64f9484a0e6/.github/workflows/codeql.yml,ubuntu-latest,0,1
awslabs,Git_llm_pick,.github/workflows/coverage-check.yml,main,https://github.com/awslabs/Git_llm_pick/blob/59904f23a59a9bd4147312b017eae64f9484a0e6/.github/workflows/coverage-check.yml,ubuntu-latest,0,1
awslabs,Git_llm_pick,.github/workflows/trufflehog.yml,main,https://github.com/awslabs/Git_llm_pick/blob/59904f23a59a9bd4147312b017eae64f9484a0e6/.github/workflows/trufflehog.yml,ubuntu-latest,0,1
awslabs,LISA,.github/workflows/code.deploy.demo.yml,main,https://github.com/awslabs/LISA/blob/1e755cee7e73262faff620f4f13b426b43c527e3/.github/workflows/code.deploy.demo.yml,ubuntu-latest,0,1
awslabs,LISA,.github/workflows/code.deploy.dev.yml,main,https://github.com/awslabs/LISA/blob/1e755cee7e73262faff620f4f13b426b43c527e3/.github/workflows/code.deploy.dev.yml,ubuntu-latest,0,1
awslabs,LISA,.github/workflows/code.draft-release-and-tag.yml,main,https://github.com/awslabs/LISA/blob/1e755cee7e73262faff620f4f13b426b43c527e3/.github/workflows/code.draft-release-and-tag.yml,ubuntu-latest,0,1
awslabs,LISA,.github/workflows/code.end-to-end-test.nightly.yml,main,https://github.com/awslabs/LISA/blob/1e755cee7e73262faff620f4f13b426b43c527e3/.github/workflows/code.end-to-end-test.nightly.yml,ubuntu-latest,0,1
