org,runner,total,self_hosted,supported
awslabs,aws-athena-query-federation_ubuntu-latest_16-core,4,1,1
awslabs,aws-lc-verification_ubuntu-latest_16-core,5,1,1
awslabs,cbmc_ubuntu-latest_64-core,1,1,1
awslabs,group-and-labels,2,1,1
awslabs,macos-10.15,2,0,0
awslabs,macos-12,4,0,0
awslabs,macos-13,16,0,0
awslabs,macos-14,48,0,1
awslabs,macos-14-large,18,0,1
awslabs,macos-14-xlarge,1,0,1
awslabs,macos-15,10,0,1
awslabs,macos-15-large,2,0,1
awslabs,macos-15-xlarge,2,0,1
awslabs,macos-26,2,1,1
awslabs,macos-latest,50,0,1
awslabs,macos-latest-xlarge,1,0,1
awslabs,palace_ubuntu-latest_16-core,3,1,1
awslabs,self-hosted,16,1,1
awslabs,ubuntu-16.04,1,0,0
awslabs,ubuntu-18.04,17,0,0
awslabs,ubuntu-20.04,37,0,1
awslabs,ubuntu-22.04,91,0,1
awslabs,ubuntu-24.04,228,0,1
awslabs,ubuntu-24.04-arm,19,0,1
awslabs,ubuntu-latest,1506,0,1
awslabs,windows-2019,4,0,0
awslabs,windows-2022,27,0,1
awslabs,windows-2025,69,0,1
awslabs,windows-latest,30,0,1
