repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
multi-az-workshop,publish.yml,workflow,ACCESS_KEY_ID,secret,job,public,0,0,0,https://github.com/awslabs/multi-az-workshop/blob/main/.github/workflows/publish.yml,https://github.com/awslabs/multi-az-workshop
mountpoint-s3,bench.yml,workflow,ACTIONS_BENCH_IAM_ROLE,variable,step,public,0,0,1,https://github.com/awslabs/mountpoint-s3/blob/main/.github/workflows/bench.yml,https://github.com/awslabs/mountpoint-s3
mountpoint-s3,bench_s3express.yml,workflow,ACTIONS_BENCH_IAM_ROLE,variable,step,public,0,0,1,https://github.com/awslabs/mountpoint-s3/blob/main/.github/workflows/bench_s3express.yml,https://github.com/awslabs/mountpoint-s3
mountpoint-s3,stress.yml,workflow,ACTIONS_BENCH_IAM_ROLE,variable,step,public,0,0,1,https://github.com/awslabs/mountpoint-s3/blob/main/.github/workflows/stress.yml,https://github.com/awslabs/mountpoint-s3
mountpoint-s3,integration.yml,workflow,ACTIONS_IAM_ROLE,variable,step,public,0,0,1,https://github.com/awslabs/mountpoint-s3/blob/main/.github/workflows/integration.yml,https://github.com/awslabs/mountpoint-s3
s3-connector-for-pytorch,python-integration.yml,workflow,ACTIONS_IAM_ROLE,variable,step,public,0,0,1,https://github.com/awslabs/s3-connector-for-pytorch/blob/main/.github/workflows/python-integration.yml,https://github.com/awslabs/s3-connector-for-pytorch
s3-connector-for-pytorch,wheels.yml,workflow,ACTIONS_IAM_ROLE,variable,step,public,0,0,0,https://github.com/awslabs/s3-connector-for-pytorch/blob/main/.github/workflows/wheels.yml,https://github.com/awslabs/s3-connector-for-pytorch
agent-evaluation,cicd-demo.yml,workflow,ACTION_EXECUTE_IAM_ROLE_ARN,variable,step,public,0,0,0,https://github.com/awslabs/agent-evaluation/blob/main/.github/workflows/cicd-demo.yml,https://github.com/awslabs/agent-evaluation
llm-hosting-container,build-huggingface.yml,workflow,ACTION_RUNNER_PERSONAL_TOKEN,secret,step,public,0,0,0,https://github.com/awslabs/llm-hosting-container/blob/main/.github/workflows/build-huggingface.yml,https://github.com/awslabs/llm-hosting-container
LISA,code.e2e-full-test.weekly.yml,workflow,ADMIN_PASSWORD,secret,step,public,0,0,1,https://github.com/awslabs/LISA/blob/main/.github/workflows/code.e2e-full-test.weekly.yml,https://github.com/awslabs/LISA
LISA,code.end-to-end-test.nightly.yml,workflow,ADMIN_PASSWORD,secret,step,public,0,0,0,https://github.com/awslabs/LISA/blob/main/.github/workflows/code.end-to-end-test.nightly.yml,https://github.com/awslabs/LISA
LISA,code.e2e-full-test.weekly.yml,workflow,ADMIN_USER_NAME,secret,step,public,0,0,1,https://github.com/awslabs/LISA/blob/main/.github/workflows/code.e2e-full-test.weekly.yml,https://github.com/awslabs/LISA
LISA,code.end-to-end-test.nightly.yml,workflow,ADMIN_USER_NAME,secret,step,public,0,0,0,https://github.com/awslabs/LISA/blob/main/.github/workflows/code.end-to-end-test.nightly.yml,https://github.com/awslabs/LISA
multi-az-workshop,publish.yml,workflow,ASSETS_LOCATION,secret,job,public,0,0,0,https://github.com/awslabs/multi-az-workshop/blob/main/.github/workflows/publish.yml,https://github.com/awslabs/multi-az-workshop
analytics-accelerator-s3,build-upload.yml,workflow,ASSUME_ROLE_ARN,secret,workflow,public,0,0,0,https://github.com/awslabs/analytics-accelerator-s3/blob/main/.github/workflows/build-upload.yml,https://github.com/awslabs/analytics-accelerator-s3
analytics-accelerator-s3,release.yml,workflow,ASSUME_ROLE_ARN,secret,step,public,0,0,0,https://github.com/awslabs/analytics-accelerator-s3/blob/main/.github/workflows/release.yml,https://github.com/awslabs/analytics-accelerator-s3
