third_party_org_name,third_party_repo_name,third_party_ref,third_party_repo_fullname,third_party_ref_type,third_party_url,third_party_archived,third_parth_forked,third_party_stars,repo_name,workflow_path,workflow_type,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
8398a7,action-slack,v3,8398a7/action-slack@v3,branch,https://github.com/8398a7/action-slack/blob/v3/action.yml,1,0,620,aws-solutions-constructs,slack-notify.yml,workflow,public,0,0,0,https://github.com/awslabs/aws-solutions-constructs/blob/main/.github/workflows/slack-notify.yml,https://github.com/awslabs/aws-solutions-constructs
8398a7,action-slack,v3,8398a7/action-slack@v3,branch,https://github.com/8398a7/action-slack/blob/v3/action.yml,1,0,620,aws-well-architected-labs,cfn_nag.yml,workflow,public,0,0,0,https://github.com/awslabs/aws-well-architected-labs/blob/main/.github/workflows/cfn_nag.yml,https://github.com/awslabs/aws-well-architected-labs
AButler,upload-release-assets,v2.0,AButler/upload-release-assets@v2.0,tag,https://github.com/AButler/upload-release-assets/blob/v2.0/action.yml,0,0,71,amazon-timestream-driver-jdbc,release.yml,workflow,public,0,0,0,https://github.com/awslabs/amazon-timestream-driver-jdbc/blob/main/.github/workflows/release.yml,https://github.com/awslabs/amazon-timestream-driver-jdbc
AdoptOpenJDK,install-jdk,v1,AdoptOpenJDK/install-jdk@v1,tag,https://github.com/AdoptOpenJDK/install-jdk/blob/v1/action.yml,1,0,12,pgjdbc,main.yml,workflow,public,1,1,0,https://github.com/awslabs/pgjdbc/blob/master/.github/workflows/main.yml,https://github.com/awslabs/pgjdbc
ArtiomTr,jest-coverage-report-action,v2.3.0,ArtiomTr/jest-coverage-report-action@v2.3.0,tag,https://github.com/ArtiomTr/jest-coverage-report-action/blob/v2.3.0/action.yml,0,0,545,osml-cdk-constructs,build.yml,workflow,public,1,0,1,https://github.com/awslabs/osml-cdk-constructs/blob/main/.github/workflows/build.yml,https://github.com/awslabs/osml-cdk-constructs
ArtiomTr,jest-coverage-report-action,v2.3.0,ArtiomTr/jest-coverage-report-action@v2.3.0,tag,https://github.com/ArtiomTr/jest-coverage-report-action/blob/v2.3.0/action.yml,0,0,545,osml-cdk-constructs,release.yml,workflow,public,1,0,0,https://github.com/awslabs/osml-cdk-constructs/blob/main/.github/workflows/release.yml,https://github.com/awslabs/osml-cdk-constructs
DavidAnson,markdownlint-cli2-action,ded1f9488f68a970bc66ea5619e13e9b52e601cd,DavidAnson/markdownlint-cli2-action@ded1f9488f68a970bc66ea5619e13e9b52e601cd,commit,https://github.com/DavidAnson/markdownlint-cli2-action/blob/ded1f9488f68a970bc66ea5619e13e9b52e601cd/action.yml,0,0,182,aidlc-workflows,ci.yml,workflow,public,0,0,0,https://github.com/awslabs/aidlc-workflows/blob/main/.github/workflows/ci.yml,https://github.com/awslabs/aidlc-workflows
DavidAnson,markdownlint-cli2-action,v23,DavidAnson/markdownlint-cli2-action@v23,tag,https://github.com/DavidAnson/markdownlint-cli2-action/blob/v23/action.yml,0,0,182,global-capacity-orchestrator-on-aws,lint.yml,workflow,public,0,0,0,https://github.com/awslabs/global-capacity-orchestrator-on-aws/blob/main/.github/workflows/lint.yml,https://github.com/awslabs/global-capacity-orchestrator-on-aws
DoozyX,clang-format-lint-action,v0.5,DoozyX/clang-format-lint-action@v0.5,tag,https://github.com/DoozyX/clang-format-lint-action/blob/v0.5/action.yml,0,0,146,aws-verification-model-for-libcrypto,clang-format.yml,workflow,public,0,0,0,https://github.com/awslabs/aws-verification-model-for-libcrypto/blob/main/.github/workflows/clang-format.yml,https://github.com/awslabs/aws-verification-model-for-libcrypto
EmbarkStudios,cargo-deny-action,v2,EmbarkStudios/cargo-deny-action@v2,tag,https://github.com/EmbarkStudios/cargo-deny-action/blob/v2/action.yml,0,0,188,avp-local-agent,build_and_test.yml,workflow,public,0,0,1,https://github.com/awslabs/avp-local-agent/blob/main/.github/workflows/build_and_test.yml,https://github.com/awslabs/avp-local-agent
