parent_fullname,parent_path,parent_org_name,parent_repo_name,parent_ref,parent_archived,parent_forked,parent_stars,parent_url,unpinnable_action_fullname,unpinnable_action_path,unpinnable_action_org_name,unpinnable_action_repo_name,unpinnable_action_ref,unpinnable_action_archived,unpinnable_action_forked,unpinnable_action_stars,unpinnable_action_url,unpinned_action_fullname,unpinned_action_path,unpinned_action_org_name,unpinned_action_repo_name,unpinned_action_ref,unpinned_action_archived,unpinned_action_forked,unpinned_action_stars,unpinned_action_url
awslabs/aws-iatk@develop,release.yml,awslabs,aws-iatk,develop,0,0,101,https://github.com/awslabs/aws-iatk/blob/683196ba2881073db929532c5bfb006c77371ff9/.github/workflows/release.yml,slsa-framework/slsa-github-generator@v1.9.0,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.9.0,.github/actions/detect-workflow-js/action.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/actions/detect-workflow-js/action.yml
awslabs/aws-iatk@develop,release.yml,awslabs,aws-iatk,develop,0,0,101,https://github.com/awslabs/aws-iatk/blob/683196ba2881073db929532c5bfb006c77371ff9/.github/workflows/release.yml,slsa-framework/slsa-github-generator@v1.9.0,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.9.0,.github/actions/generate-builder/action.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/actions/generate-builder/action.yml
awslabs/aws-iatk@develop,release.yml,awslabs,aws-iatk,develop,0,0,101,https://github.com/awslabs/aws-iatk/blob/683196ba2881073db929532c5bfb006c77371ff9/.github/workflows/release.yml,slsa-framework/slsa-github-generator@v1.9.0,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.9.0,.github/actions/secure-download-artifact/action.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/actions/secure-download-artifact/action.yml
awslabs/aws-iatk@develop,release.yml,awslabs,aws-iatk,develop,0,0,101,https://github.com/awslabs/aws-iatk/blob/683196ba2881073db929532c5bfb006c77371ff9/.github/workflows/release.yml,slsa-framework/slsa-github-generator@v1.9.0,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.9.0,.github/actions/secure-builder-checkout/action.yaml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/actions/secure-builder-checkout/action.yaml
awslabs/aws-iatk@develop,release.yml,awslabs,aws-iatk,develop,0,0,101,https://github.com/awslabs/aws-iatk/blob/683196ba2881073db929532c5bfb006c77371ff9/.github/workflows/release.yml,slsa-framework/slsa-github-generator@v1.9.0,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.9.0,__BUILDER_CHECKOUT_DIR__/.github/actions/secure-download-artifact,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/__BUILDER_CHECKOUT_DIR__/.github/actions/secure-download-artifact
awslabs/aws-iatk@develop,reusable_release-python-client.yml,awslabs,aws-iatk,develop,0,0,101,https://github.com/awslabs/aws-iatk/blob/683196ba2881073db929532c5bfb006c77371ff9/.github/workflows/reusable_release-python-client.yml,slsa-framework/slsa-github-generator@v1.9.0,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.9.0,.github/actions/detect-workflow-js/action.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/actions/detect-workflow-js/action.yml
awslabs/aws-iatk@develop,reusable_release-python-client.yml,awslabs,aws-iatk,develop,0,0,101,https://github.com/awslabs/aws-iatk/blob/683196ba2881073db929532c5bfb006c77371ff9/.github/workflows/reusable_release-python-client.yml,slsa-framework/slsa-github-generator@v1.9.0,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.9.0,.github/actions/generate-builder/action.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/actions/generate-builder/action.yml
awslabs/aws-iatk@develop,reusable_release-python-client.yml,awslabs,aws-iatk,develop,0,0,101,https://github.com/awslabs/aws-iatk/blob/683196ba2881073db929532c5bfb006c77371ff9/.github/workflows/reusable_release-python-client.yml,slsa-framework/slsa-github-generator@v1.9.0,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.9.0,.github/actions/secure-download-artifact/action.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/actions/secure-download-artifact/action.yml
awslabs/aws-iatk@develop,reusable_release-python-client.yml,awslabs,aws-iatk,develop,0,0,101,https://github.com/awslabs/aws-iatk/blob/683196ba2881073db929532c5bfb006c77371ff9/.github/workflows/reusable_release-python-client.yml,slsa-framework/slsa-github-generator@v1.9.0,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.9.0,.github/actions/secure-builder-checkout/action.yaml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/actions/secure-builder-checkout/action.yaml
awslabs/aws-iatk@develop,reusable_release-python-client.yml,awslabs,aws-iatk,develop,0,0,101,https://github.com/awslabs/aws-iatk/blob/683196ba2881073db929532c5bfb006c77371ff9/.github/workflows/reusable_release-python-client.yml,slsa-framework/slsa-github-generator@v1.9.0,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.9.0,__BUILDER_CHECKOUT_DIR__/.github/actions/secure-download-artifact,slsa-framework,slsa-github-generator,v1.9.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/07e64b653f10a80b6510f4568f685f8b7b9ea830/__BUILDER_CHECKOUT_DIR__/.github/actions/secure-download-artifact
