org,repo,workflow,ref,url,name,type
awslabs,amazon-emr-cli,.github/workflows/pypi-publish.yaml,main,https://github.com/awslabs/amazon-emr-cli/blob/62954622bd5d542649640c012b925b789b813d60/.github/workflows/pypi-publish.yaml,POETRY_PYPI_TOKEN_PYPI,secret
awslabs,analytics-accelerator-s3,.github/workflows/build-upload.yml,main,https://github.com/awslabs/analytics-accelerator-s3/blob/dd16bbfeea4e7fe0015e045b7f62fd3701754618/.github/workflows/build-upload.yml,STATE_MACHINE_ARN,secret
awslabs,analytics-accelerator-s3,.github/workflows/build-upload.yml,main,https://github.com/awslabs/analytics-accelerator-s3/blob/dd16bbfeea4e7fe0015e045b7f62fd3701754618/.github/workflows/build-upload.yml,ASSUME_ROLE_ARN,secret
awslabs,analytics-accelerator-s3,.github/workflows/build-upload.yml,main,https://github.com/awslabs/analytics-accelerator-s3/blob/dd16bbfeea4e7fe0015e045b7f62fd3701754618/.github/workflows/build-upload.yml,ICEBERG_STAGING_SSH_KEY,secret
awslabs,analytics-accelerator-s3,.github/workflows/build-upload.yml,main,https://github.com/awslabs/analytics-accelerator-s3/blob/dd16bbfeea4e7fe0015e045b7f62fd3701754618/.github/workflows/build-upload.yml,ICEBERG_STAGING_PATH,secret
awslabs,analytics-accelerator-s3,.github/workflows/build-upload.yml,main,https://github.com/awslabs/analytics-accelerator-s3/blob/dd16bbfeea4e7fe0015e045b7f62fd3701754618/.github/workflows/build-upload.yml,AWS_REGION,variable
awslabs,analytics-accelerator-s3,.github/workflows/build-upload.yml,main,https://github.com/awslabs/analytics-accelerator-s3/blob/dd16bbfeea4e7fe0015e045b7f62fd3701754618/.github/workflows/build-upload.yml,S3_BUCKET,variable
awslabs,analytics-accelerator-s3,.github/workflows/build-upload.yml,main,https://github.com/awslabs/analytics-accelerator-s3/blob/dd16bbfeea4e7fe0015e045b7f62fd3701754618/.github/workflows/build-upload.yml,STATE_MACHINE_INPUT_S3A,variable
awslabs,analytics-accelerator-s3,.github/workflows/build-upload.yml,main,https://github.com/awslabs/analytics-accelerator-s3/blob/dd16bbfeea4e7fe0015e045b7f62fd3701754618/.github/workflows/build-upload.yml,STATE_MACHINE_INPUT_S3FILEIO,variable
awslabs,analytics-accelerator-s3,.github/workflows/gradle-integration-test.yml,main,https://github.com/awslabs/analytics-accelerator-s3/blob/dd16bbfeea4e7fe0015e045b7f62fd3701754618/.github/workflows/gradle-integration-test.yml,S3_TEST_ASSUME_ROLE_ARN,secret
