org,name,type
awslabs,ACTIONS_BENCH_IAM_ROLE,variable
awslabs,ACTIONS_IAM_ROLE,variable
awslabs,ACTION_EXECUTE_IAM_ROLE_ARN,variable
awslabs,ACTION_RUNNER_PERSONAL_TOKEN,secret
awslabs,ASSUME_ROLE_ARN,secret
awslabs,AURORA_DSQL_INTEGRATION_CLUSTER_ENDPOINT,secret
awslabs,AURORA_DSQL_INTEGRATION_CLUSTER_REGION,secret
awslabs,AURORA_DSQL_INTEGRATION_NODE_POSTGRES_CLUSTER_EDNPOINT,secret
awslabs,AURORA_DSQL_INTEGRATION_POSTGRESJS_CLUSTER_EDNPOINT,secret
awslabs,AURORA_DSQL_JDBC_WRAPPER_IAM_ROLE,secret
awslabs,AURORA_DSQL_NODEJS_IAM_ROLE,secret
awslabs,AUTOMATION_USER_SSH_PRIVATE_KEY,secret
awslabs,AUTOREBASE_TOKEN,secret
awslabs,AWS_ACCESS_KEY_ID,secret
awslabs,AWS_ACCESS_KEY_ID_APPSTREAM_EGRESS,secret
awslabs,AWS_ACCESS_KEY_ID_SIGNING,secret
awslabs,AWS_ACCESS_ROLE_ARN,secret
awslabs,AWS_ACCOUNT,variable
awslabs,AWS_ACCOUNT_ID,secret
awslabs,AWS_ARN_GHA,secret
awslabs,AWS_ASSUME_ROLE,secret
awslabs,AWS_ASSUME_ROLE_ARN_INTEG_TESTS,secret
awslabs,AWS_ASSUME_ROLE_ARN_RELEASE,secret
awslabs,AWS_ASSUME_ROLE_ARN_STAGING,secret
awslabs,AWS_BATCH_ACCESS_ID,secret
awslabs,AWS_BATCH_SECRET_ACCESS_KEY,secret
awslabs,AWS_CERTIFICATE_ARN,secret
awslabs,AWS_CERTIFICATE_ARN_APPSTREAM_EGRESS,secret
awslabs,AWS_CODECOMMIT_REPO_URL,secret
awslabs,AWS_DEFAULT_REGION,secret
awslabs,AWS_DEPLOY_ROLE,secret
awslabs,AWS_DOMAIN_NAME,secret
awslabs,AWS_DOMAIN_NAME_APPSTREAM_EGRESS,secret
awslabs,AWS_ECR_REPO,secret
awslabs,AWS_HOSTED_ZONE_ID,secret
awslabs,AWS_HOSTED_ZONE_ID_APPSTREAM_EGRESS,secret
awslabs,AWS_IT_TEST_ACCESS_KEY_ID,secret
awslabs,AWS_IT_TEST_SECRET_ACCESS_KEY,secret
awslabs,AWS_KEY,secret
awslabs,AWS_KEY_DRIVER,secret
awslabs,AWS_KEY_EXE,secret
awslabs,AWS_KEY_SERIALIZATION,secret
awslabs,AWS_KEY_WIN_32,secret
