org,repo,workflow,fork,archived,stars,visibility,ref,ref_type,ref_resolved_to,ref_resolved_type,workflow_type,workflow_url,jobs_count,workflow_status,parent_workflows,event_triggers
awslabs,aft-blueprints,.github/workflows/docbuild.yml,0,0,34,public,main,branch,a02bafb75e8c6afca739a0f4207e5919f4560157,commit,workflow,https://github.com/awslabs/aft-blueprints/blob/a02bafb75e8c6afca739a0f4207e5919f4560157/.github/workflows/docbuild.yml,1,,,push
awslabs,agent-evaluation,.github/workflows/ci.yml,0,0,301,public,main,branch,5d2784af28bae4bc3a0edd651ce78def310faea1,commit,workflow,https://github.com/awslabs/agent-evaluation/blob/5d2784af28bae4bc3a0edd651ce78def310faea1/.github/workflows/ci.yml,1,,,pull_request
awslabs,agent-evaluation,.github/workflows/cicd-demo.yml,0,0,301,public,main,branch,5d2784af28bae4bc3a0edd651ce78def310faea1,commit,workflow,https://github.com/awslabs/agent-evaluation/blob/5d2784af28bae4bc3a0edd651ce78def310faea1/.github/workflows/cicd-demo.yml,1,,,push
awslabs,agent-evaluation,.github/workflows/docs.yml,0,0,301,public,main,branch,5d2784af28bae4bc3a0edd651ce78def310faea1,commit,workflow,https://github.com/awslabs/agent-evaluation/blob/5d2784af28bae4bc3a0edd651ce78def310faea1/.github/workflows/docs.yml,1,,,"release,workflow_dispatch"
awslabs,agent-evaluation,.github/workflows/pypi.yml,0,0,301,public,main,branch,5d2784af28bae4bc3a0edd651ce78def310faea1,commit,workflow,https://github.com/awslabs/agent-evaluation/blob/5d2784af28bae4bc3a0edd651ce78def310faea1/.github/workflows/pypi.yml,1,,,"release,workflow_dispatch"
awslabs,agent-squad,.github/workflows/npm-publish.yml,0,0,6998,public,main,branch,8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6,commit,workflow,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/npm-publish.yml,1,,,workflow_dispatch
awslabs,agent-squad,.github/workflows/on-docs-update.yml,0,0,6998,public,main,branch,8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6,commit,workflow,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/on-docs-update.yml,2,,,"push,workflow_dispatch"
awslabs,agent-squad,.github/workflows/on-issue-opened.yml,0,0,6998,public,main,branch,8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6,commit,workflow,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/on-issue-opened.yml,1,,,issues
awslabs,agent-squad,.github/workflows/on-push.yml,0,0,6998,public,main,branch,8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6,commit,workflow,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/on-push.yml,1,,,"push,pull_request"
awslabs,agent-squad,.github/workflows/pr-issue-link-checker.yml,0,0,6998,public,main,branch,8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6,commit,workflow,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/pr-issue-link-checker.yml,1,,,pull_request
