repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
cagent-action,review-pr.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/main/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,test-e2e-reviewer.yml,workflow,ANTHROPIC_API_KEY,secret,job,public,0,0,0,https://github.com/docker/cagent-action/blob/main/.github/workflows/test-e2e-reviewer.yml,https://github.com/docker/cagent-action
cagent-action,test-e2e-reviewer.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/docker/cagent-action/blob/main/.github/workflows/test-e2e-reviewer.yml,https://github.com/docker/cagent-action
cagent-action,test-e2e.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/docker/cagent-action/blob/main/.github/workflows/test-e2e.yml,https://github.com/docker/cagent-action
docker-agent-action,review-pr.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,1,https://github.com/docker/docker-agent-action/blob/main/.github/workflows/review-pr.yml,https://github.com/docker/docker-agent-action
docker-agent-action,test-e2e-reviewer.yml,workflow,ANTHROPIC_API_KEY,secret,job,public,0,0,0,https://github.com/docker/docker-agent-action/blob/main/.github/workflows/test-e2e-reviewer.yml,https://github.com/docker/docker-agent-action
docker-agent-action,test-e2e-reviewer.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/docker/docker-agent-action/blob/main/.github/workflows/test-e2e-reviewer.yml,https://github.com/docker/docker-agent-action
docker-agent-action,test-e2e.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/docker/docker-agent-action/blob/main/.github/workflows/test-e2e.yml,https://github.com/docker/docker-agent-action
docs,nightly-docs-scan.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/docker/docs/blob/main/.github/workflows/nightly-docs-scan.yml,https://github.com/docker/docs
mcp-community-registry,claude.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,1,0,https://github.com/docker/mcp-community-registry/blob/main/.github/workflows/claude.yml,https://github.com/docker/mcp-community-registry
model-cards,generate-model-card.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,1,0,0,https://github.com/docker/model-cards/blob/main/.github/workflows/generate-model-card.yml,https://github.com/docker/model-cards
model-runner,release.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/docker/model-runner/blob/main/.github/workflows/release.yml,https://github.com/docker/model-runner
cagent-action,review-pr.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/3f5dc9969f307d3c76acb7e9ccaefdd96bd62f4b/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/2369328cd25777eb0a4ff959a399b6d1a5204fc7/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/0498757af1c50b084f763d626f571918cf317509/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/f208610469d69f20983cad64c577949a132caa33/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/d98096f432f2aea5091c811852c4da804e60623a/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
login-action,ci.yml,workflow,AWS_ACCESS_KEY_ID,secret,step,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/ci.yml,https://github.com/docker/login-action
cagent-action,review-pr.yml,workflow,AWS_BEARER_TOKEN_BEDROCK,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/main/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,test-e2e-reviewer.yml,workflow,AWS_BEARER_TOKEN_BEDROCK,secret,job,public,0,0,0,https://github.com/docker/cagent-action/blob/main/.github/workflows/test-e2e-reviewer.yml,https://github.com/docker/cagent-action
docker-agent-action,review-pr.yml,workflow,AWS_BEARER_TOKEN_BEDROCK,secret,step,public,0,0,1,https://github.com/docker/docker-agent-action/blob/main/.github/workflows/review-pr.yml,https://github.com/docker/docker-agent-action
docker-agent-action,test-e2e-reviewer.yml,workflow,AWS_BEARER_TOKEN_BEDROCK,secret,job,public,0,0,0,https://github.com/docker/docker-agent-action/blob/main/.github/workflows/test-e2e-reviewer.yml,https://github.com/docker/docker-agent-action
cagent-action,review-pr.yml,workflow,AWS_BEARER_TOKEN_BEDROCK,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/3f5dc9969f307d3c76acb7e9ccaefdd96bd62f4b/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,AWS_BEARER_TOKEN_BEDROCK,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/2369328cd25777eb0a4ff959a399b6d1a5204fc7/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,AWS_BEARER_TOKEN_BEDROCK,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/0498757af1c50b084f763d626f571918cf317509/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,AWS_BEARER_TOKEN_BEDROCK,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/f208610469d69f20983cad64c577949a132caa33/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,AWS_BEARER_TOKEN_BEDROCK,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/d98096f432f2aea5091c811852c4da804e60623a/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
login-action,ci.yml,workflow,AWS_SECRET_ACCESS_KEY,secret,step,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/ci.yml,https://github.com/docker/login-action
compose-language-service,info-needed-closer.yml,workflow,AZCODE_BOT_PAT,secret,step,public,0,1,0,https://github.com/docker/compose-language-service/blob/main/.github/workflows/info-needed-closer.yml,https://github.com/docker/compose-language-service
compose-language-service,locker.yml,workflow,AZCODE_BOT_PAT,secret,step,public,0,1,0,https://github.com/docker/compose-language-service/blob/main/.github/workflows/locker.yml,https://github.com/docker/compose-language-service
login-action,ci.yml,workflow,AZURE_CLIENT_ID,secret,step,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/ci.yml,https://github.com/docker/login-action
login-action,ci.yml,workflow,AZURE_CLIENT_SECRET,secret,step,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/ci.yml,https://github.com/docker/login-action
docker-language-server,build.yml,workflow,BUGSNAG_API_KEY,secret,step,public,0,0,0,https://github.com/docker/docker-language-server/blob/main/.github/workflows/build.yml,https://github.com/docker/docker-language-server
vscode-extension,build.yml,workflow,BUGSNAG_API_KEY,secret,step,public,0,0,0,https://github.com/docker/vscode-extension/blob/main/.github/workflows/build.yml,https://github.com/docker/vscode-extension
model-runner,release.yml,workflow,CLI_RELEASE_PAT,secret,step,public,0,0,0,https://github.com/docker/model-runner/blob/main/.github/workflows/release.yml,https://github.com/docker/model-runner
actions-toolkit,test.yml,workflow,CODECOV_TOKEN,secret,step,public,0,0,0,https://github.com/docker/actions-toolkit/blob/main/.github/workflows/test.yml,https://github.com/docker/actions-toolkit
build-push-action,test.yml,workflow,CODECOV_TOKEN,secret,step,public,0,0,0,https://github.com/docker/build-push-action/blob/master/.github/workflows/test.yml,https://github.com/docker/build-push-action
