third_party_org_name,third_party_repo_name,third_party_ref,third_party_repo_fullname,third_party_ref_type,third_party_url,third_party_archived,third_parth_forked,third_party_stars,repo_name,workflow_path,workflow_type,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
ReneWerner87,release-drafter,6dec4ceb1fb86b6514f11a2e7a39e1dedce709d0,ReneWerner87/release-drafter@6dec4ceb1fb86b6514f11a2e7a39e1dedce709d0,commit,https://github.com/ReneWerner87/release-drafter/blob/6dec4ceb1fb86b6514f11a2e7a39e1dedce709d0/action.yml,0,1,0,go-sdk,release-drafter.yml,workflow,public,0,0,0,https://github.com/docker/go-sdk/blob/main/.github/workflows/release-drafter.yml,https://github.com/docker/go-sdk
SonarSource,sonarqube-scan-action,713881670b6b3676cda39549040e2d88c70d582e,SonarSource/sonarqube-scan-action@713881670b6b3676cda39549040e2d88c70d582e,commit,https://github.com/SonarSource/sonarqube-scan-action/blob/713881670b6b3676cda39549040e2d88c70d582e/action.yml,0,0,387,go-sdk,ci-test-go.yml,workflow,public,0,0,1,https://github.com/docker/go-sdk/blob/main/.github/workflows/ci-test-go.yml,https://github.com/docker/go-sdk
SonarSource,sonarqube-scan-action,713881670b6b3676cda39549040e2d88c70d582e,SonarSource/sonarqube-scan-action@713881670b6b3676cda39549040e2d88c70d582e,commit,https://github.com/SonarSource/sonarqube-scan-action/blob/713881670b6b3676cda39549040e2d88c70d582e/action.yml,0,0,387,go-sdk,ci.yml,workflow,public,0,0,0,https://github.com/docker/go-sdk/blob/main/.github/workflows/ci.yml,https://github.com/docker/go-sdk
_,docker,29.3@sha256:4d90f1f6c400315c2dba96d3ec93c01e64198395cbba04f79d12adce4f737029,_/docker@29.3@sha256:4d90f1f6c400315c2dba96d3ec93c01e64198395cbba04f79d12adce4f737029,unknown,https://github.com/_/docker/blob/29.3@sha256:4d90f1f6c400315c2dba96d3ec93c01e64198395cbba04f79d12adce4f737029/,0,0,0,login-action,ci.yml,workflow,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/ci.yml,https://github.com/docker/login-action
actions,add-to-project,v0.1.0,actions/add-to-project@v0.1.0,tag,https://github.com/actions/add-to-project/blob/v0.1.0/action.yml,0,0,695,unleash-proxy,add-to-project.yml,workflow,public,0,1,0,https://github.com/docker/unleash-proxy/blob/main/.github/workflows/add-to-project.yml,https://github.com/docker/unleash-proxy
actions,cache,27d5ce7f107fe9357f9df03efb73ab90386fccae,actions/cache@27d5ce7f107fe9357f9df03efb73ab90386fccae,commit,https://github.com/actions/cache/blob/27d5ce7f107fe9357f9df03efb73ab90386fccae/action.yml,0,0,5432,build-push-action,ci.yml,workflow,public,0,0,0,https://github.com/docker/build-push-action/blob/master/.github/workflows/ci.yml,https://github.com/docker/build-push-action
actions,cache,8492260343ad570701412c2f464a5877dc76bace,actions/cache@8492260343ad570701412c2f464a5877dc76bace,commit,https://github.com/actions/cache/blob/8492260343ad570701412c2f464a5877dc76bace/action.yml,0,0,5432,compose-switch,ci.yml,workflow,public,0,0,0,https://github.com/docker/compose-switch/blob/master/.github/workflows/ci.yml,https://github.com/docker/compose-switch
actions,cache,6f8efc29b200d32929f49075959781ed54ec270c,actions/cache@6f8efc29b200d32929f49075959781ed54ec270c,commit,https://github.com/actions/cache/blob/6f8efc29b200d32929f49075959781ed54ec270c/action.yml,0,0,5432,docker-gs-ping,ci-cd.yml,workflow,public,0,1,0,https://github.com/docker/docker-gs-ping/blob/main/.github/workflows/ci-cd.yml,https://github.com/docker/docker-gs-ping
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/restore/action.yml,0,0,5432,docs,nightly-docs-scan.yml,workflow,public,0,0,0,https://github.com/docker/docs/blob/main/.github/workflows/nightly-docs-scan.yml,https://github.com/docker/docs
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/save/action.yml,0,0,5432,docs,nightly-docs-scan.yml,workflow,public,0,0,0,https://github.com/docker/docs/blob/main/.github/workflows/nightly-docs-scan.yml,https://github.com/docker/docs
actions,cache,27d5ce7f107fe9357f9df03efb73ab90386fccae,actions/cache@27d5ce7f107fe9357f9df03efb73ab90386fccae,commit,https://github.com/actions/cache/blob/27d5ce7f107fe9357f9df03efb73ab90386fccae/restore/action.yml,0,0,5432,go-sdk,ci-benchmarks.yml,workflow,public,0,0,1,https://github.com/docker/go-sdk/blob/main/.github/workflows/ci-benchmarks.yml,https://github.com/docker/go-sdk
actions,cache,27d5ce7f107fe9357f9df03efb73ab90386fccae,actions/cache@27d5ce7f107fe9357f9df03efb73ab90386fccae,commit,https://github.com/actions/cache/blob/27d5ce7f107fe9357f9df03efb73ab90386fccae/save/action.yml,0,0,5432,go-sdk,ci-benchmarks.yml,workflow,public,0,0,1,https://github.com/docker/go-sdk/blob/main/.github/workflows/ci-benchmarks.yml,https://github.com/docker/go-sdk
