org,repo,workflow,ref,url,runner,self_hosted,supported
github,CodeSearchNet,.github/workflows/test.yaml,master,https://github.com/github/CodeSearchNet/blob/106e827405c968597da938f6b373d30183918869/.github/workflows/test.yaml,ubuntu-latest,0,1
github,CopilotForXcode,.github/workflows/auto-close-pr.yml,main,https://github.com/github/CopilotForXcode/blob/8991d8a5260ccff44af0e0b03df9c79c074db113/.github/workflows/auto-close-pr.yml,ubuntu-latest,0,1
github,DPG-guidance,.github/workflows/community.yml,main,https://github.com/github/DPG-guidance/blob/392533fe140d4388d583c0b872ba0692f05255ca/.github/workflows/community.yml,ubuntu-latest,0,1
github,DPG-guidance,.github/workflows/issue-auto-unassign.yml,main,https://github.com/github/DPG-guidance/blob/392533fe140d4388d583c0b872ba0692f05255ca/.github/workflows/issue-auto-unassign.yml,ubuntu-latest,0,1
github,Dynamic-Template-Engine,.github/workflows/Build.yml,master,https://github.com/github/Dynamic-Template-Engine/blob/75ced672ac164cdb0fa3e3656269c42f01eb5fcf/.github/workflows/Build.yml,macos-latest,0,1
github,Dynamic-Template-Engine,.github/workflows/Build.yml,master,https://github.com/github/Dynamic-Template-Engine/blob/75ced672ac164cdb0fa3e3656269c42f01eb5fcf/.github/workflows/Build.yml,ubuntu-latest,0,1
github,Dynamic-Template-Engine,.github/workflows/Build.yml,master,https://github.com/github/Dynamic-Template-Engine/blob/75ced672ac164cdb0fa3e3656269c42f01eb5fcf/.github/workflows/Build.yml,windows-latest,0,1
github,Dynamic-Template-Engine,.github/workflows/CodeCoverage.yml,master,https://github.com/github/Dynamic-Template-Engine/blob/75ced672ac164cdb0fa3e3656269c42f01eb5fcf/.github/workflows/CodeCoverage.yml,ubuntu-latest,0,1
github,Dynamic-Template-Engine,.github/workflows/codeql-analysis.yml,master,https://github.com/github/Dynamic-Template-Engine/blob/75ced672ac164cdb0fa3e3656269c42f01eb5fcf/.github/workflows/codeql-analysis.yml,ubuntu-latest,0,1
github,Dynamic-Template-Engine,.github/workflows/lint.yml,master,https://github.com/github/Dynamic-Template-Engine/blob/75ced672ac164cdb0fa3e3656269c42f01eb5fcf/.github/workflows/lint.yml,ubuntu-latest,0,1
github,GreenSoftwareDirectory,.github/workflows/links_checkerPR.yml,main,https://github.com/github/GreenSoftwareDirectory/blob/157c316e30ab194672918ac4ad741001ddf5a8df/.github/workflows/links_checkerPR.yml,ubuntu-latest,0,1
github,KustoSchemaTools,.github/workflows/dotnet-tests.yml,main,https://github.com/github/KustoSchemaTools/blob/793d8bd4a31005b247bcf27420c6398080741c44/.github/workflows/dotnet-tests.yml,ubuntu-latest,0,1
github,KustoSchemaTools,.github/workflows/release.yml,main,https://github.com/github/KustoSchemaTools/blob/793d8bd4a31005b247bcf27420c6398080741c44/.github/workflows/release.yml,ubuntu-latest,0,1
github,KustoSchemaToolsAction,.github/workflows/publish_image.yml,main,https://github.com/github/KustoSchemaToolsAction/blob/3bc7b674676f10ed3e5f26ac6e16c6e2e19d7f59/.github/workflows/publish_image.yml,ubuntu-latest,0,1
github,Skills-Based-Volunteering-Public,.github/workflows/Create-Team-Ack.yml,main,https://github.com/github/Skills-Based-Volunteering-Public/blob/25cdd7dfee07d3d05686c274210631ffd41d23d8/.github/workflows/Create-Team-Ack.yml,ubuntu-latest,0,1
github,Skills-Based-Volunteering-Public,.github/workflows/googleformtoissue.yml,main,https://github.com/github/Skills-Based-Volunteering-Public/blob/25cdd7dfee07d3d05686c274210631ffd41d23d8/.github/workflows/googleformtoissue.yml,ubuntu-latest,0,1
github,VisualStudio,.github/workflows/main.yml,master,https://github.com/github/VisualStudio/blob/6d428ef3bb1848ae0ece98fd57c9c8fa564aed7f/.github/workflows/main.yml,windows-latest,0,1
github,accessibility-alt-text-bot,.github/workflows/ci.yml,main,https://github.com/github/accessibility-alt-text-bot/blob/fb1177d14640d874f89aed33b4379e309fc4b1cc/.github/workflows/ci.yml,ubuntu-latest,0,1
github,accessibility-alt-text-bot,.github/workflows/test-accessibility-alt-text-bot.yml,main,https://github.com/github/accessibility-alt-text-bot/blob/fb1177d14640d874f89aed33b4379e309fc4b1cc/.github/workflows/test-accessibility-alt-text-bot.yml,ubuntu-latest,0,1
github,accessibility-scanner,.github/workflows/test.yml,main,https://github.com/github/accessibility-scanner/blob/ddcbf9ec96e60a978b2ce6ab63e27d864e5abf03/.github/workflows/test.yml,ubuntu-latest,0,1
github,actions-cheat-sheet,.github/workflows/build.yml,master,https://github.com/github/actions-cheat-sheet/blob/ea7013e91dbc9460f1e5b44eae459c14b3df89d5/.github/workflows/build.yml,ubuntu-latest,0,1
github,actions-cheat-sheet,.github/workflows/experiment-with-label.yml,master,https://github.com/github/actions-cheat-sheet/blob/ea7013e91dbc9460f1e5b44eae459c14b3df89d5/.github/workflows/experiment-with-label.yml,ubuntu-latest,0,1
github,actions-oidc-debugger,.github/workflows/action-test.yml,main,https://github.com/github/actions-oidc-debugger/blob/bc12dcf1a852221e54f27c95b2db36d135c1b97f/.github/workflows/action-test.yml,ubuntu-latest,0,1
github,actions-oidc-debugger,.github/workflows/main.yml,main,https://github.com/github/actions-oidc-debugger/blob/bc12dcf1a852221e54f27c95b2db36d135c1b97f/.github/workflows/main.yml,ubuntu-latest,0,1
github,actions-oidc-gateway-example,.github/workflows/ci.yml,main,https://github.com/github/actions-oidc-gateway-example/blob/49d42c28f5bab2f683220416cd783e66d95e1a87/.github/workflows/ci.yml,ubuntu-20.04,0,1
github,advisory-database,.github/workflows/create_staging_branch.yaml,main,https://github.com/github/advisory-database/blob/318be3ddccc92e937ae22f040d454a04b0dba813/.github/workflows/create_staging_branch.yaml,ubuntu-latest,0,1
github,advisory-database,.github/workflows/delete_staging_and_head_branches.yaml,main,https://github.com/github/advisory-database/blob/318be3ddccc92e937ae22f040d454a04b0dba813/.github/workflows/delete_staging_and_head_branches.yaml,ubuntu-latest,0,1
github,advisory-database,.github/workflows/stale.yaml,main,https://github.com/github/advisory-database/blob/318be3ddccc92e937ae22f040d454a04b0dba813/.github/workflows/stale.yaml,ubuntu-latest,0,1
github,ai-assessment-comment-labeler,.github/workflows/ai-issue-assessment.yml,main,https://github.com/github/ai-assessment-comment-labeler/blob/a29876208a805048b198ff9e055100b1b23f9db4/.github/workflows/ai-issue-assessment.yml,ubuntu-latest,0,1
github,ai-assessment-comment-labeler,.github/workflows/check_dist.yml,main,https://github.com/github/ai-assessment-comment-labeler/blob/a29876208a805048b198ff9e055100b1b23f9db4/.github/workflows/check_dist.yml,ubuntu-latest,0,1
github,ai-assessment-comment-labeler,.github/workflows/ci.yml,main,https://github.com/github/ai-assessment-comment-labeler/blob/a29876208a805048b198ff9e055100b1b23f9db4/.github/workflows/ci.yml,ubuntu-latest,0,1
github,ai-moderator,.github/workflows/check-dist.yml,main,https://github.com/github/ai-moderator/blob/81159c370785e295c97461ade67d7c33576e9319/.github/workflows/check-dist.yml,ubuntu-latest,0,1
github,ai-moderator,.github/workflows/ci.yml,main,https://github.com/github/ai-moderator/blob/81159c370785e295c97461ade67d7c33576e9319/.github/workflows/ci.yml,ubuntu-latest,0,1
github,ai-moderator,.github/workflows/licensed.yml,main,https://github.com/github/ai-moderator/blob/81159c370785e295c97461ade67d7c33576e9319/.github/workflows/licensed.yml,ubuntu-latest,0,1
github,ai-moderator,.github/workflows/linter.yml,main,https://github.com/github/ai-moderator/blob/81159c370785e295c97461ade67d7c33576e9319/.github/workflows/linter.yml,ubuntu-latest,0,1
github,ai-moderator,.github/workflows/release-new-action-version.yml,main,https://github.com/github/ai-moderator/blob/81159c370785e295c97461ade67d7c33576e9319/.github/workflows/release-new-action-version.yml,ubuntu-latest,0,1
github,annotated-logger,.github/workflows/coverage.yaml,main,https://github.com/github/annotated-logger/blob/742a6aac7cf5f73ce0d2a553db6a71e392c39939/.github/workflows/coverage.yaml,ubuntu-latest,0,1
github,annotated-logger,.github/workflows/publish-to-pypi.yaml,main,https://github.com/github/annotated-logger/blob/742a6aac7cf5f73ce0d2a553db6a71e392c39939/.github/workflows/publish-to-pypi.yaml,ubuntu-latest,0,1
github,annotated-logger,.github/workflows/pyright.yaml,main,https://github.com/github/annotated-logger/blob/742a6aac7cf5f73ce0d2a553db6a71e392c39939/.github/workflows/pyright.yaml,ubuntu-latest,0,1
github,annotated-logger,.github/workflows/pytest.yaml,main,https://github.com/github/annotated-logger/blob/742a6aac7cf5f73ce0d2a553db6a71e392c39939/.github/workflows/pytest.yaml,macos-latest,0,1
github,annotated-logger,.github/workflows/pytest.yaml,main,https://github.com/github/annotated-logger/blob/742a6aac7cf5f73ce0d2a553db6a71e392c39939/.github/workflows/pytest.yaml,ubuntu-latest,0,1
github,annotated-logger,.github/workflows/pytest.yaml,main,https://github.com/github/annotated-logger/blob/742a6aac7cf5f73ce0d2a553db6a71e392c39939/.github/workflows/pytest.yaml,windows-latest,0,1
github,annotated-logger,.github/workflows/ruff.yaml,main,https://github.com/github/annotated-logger/blob/742a6aac7cf5f73ce0d2a553db6a71e392c39939/.github/workflows/ruff.yaml,ubuntu-latest,0,1
github,arianotify-polyfill,.github/workflows/publish.yml,main,https://github.com/github/arianotify-polyfill/blob/da01d651af39b28d2a4f94e9590705c7b39f4446/.github/workflows/publish.yml,ubuntu-latest,0,1
github,arianotify-polyfill,.github/workflows/static.yml,main,https://github.com/github/arianotify-polyfill/blob/da01d651af39b28d2a4f94e9590705c7b39f4446/.github/workflows/static.yml,ubuntu-latest,0,1
github,arianotify-polyfill,.github/workflows/test.yml,main,https://github.com/github/arianotify-polyfill/blob/da01d651af39b28d2a4f94e9590705c7b39f4446/.github/workflows/test.yml,ubuntu-latest,0,1
github,artifact-attestations-helm-charts,.github/workflows/release.yml,main,https://github.com/github/artifact-attestations-helm-charts/blob/8379457dc0638a1614eeba3ce8fde9bfa5079910/.github/workflows/release.yml,ubuntu-latest,0,1
github,artifact-attestations-helm-charts,.github/workflows/test.yml,main,https://github.com/github/artifact-attestations-helm-charts/blob/8379457dc0638a1614eeba3ce8fde9bfa5079910/.github/workflows/test.yml,ubuntu-latest,0,1
github,artifact-attestations-opa-provider,.github/workflows/build.yml,main,https://github.com/github/artifact-attestations-opa-provider/blob/705f59b1e727db309ed58c9104dc7e61afda3b7d/.github/workflows/build.yml,ubuntu-latest,0,1
github,artifact-attestations-opa-provider,.github/workflows/docker.yaml,main,https://github.com/github/artifact-attestations-opa-provider/blob/705f59b1e727db309ed58c9104dc7e61afda3b7d/.github/workflows/docker.yaml,ubuntu-latest,0,1
github,artifact-attestations-opa-provider,.github/workflows/integrationtests.yaml,main,https://github.com/github/artifact-attestations-opa-provider/blob/705f59b1e727db309ed58c9104dc7e61afda3b7d/.github/workflows/integrationtests.yaml,ubuntu-latest,0,1
github,artifact-attestations-opa-provider,.github/workflows/lint.yml,main,https://github.com/github/artifact-attestations-opa-provider/blob/705f59b1e727db309ed58c9104dc7e61afda3b7d/.github/workflows/lint.yml,ubuntu-latest,0,1
github,artifact-attestations-opa-provider,.github/workflows/rego.yaml,main,https://github.com/github/artifact-attestations-opa-provider/blob/705f59b1e727db309ed58c9104dc7e61afda3b7d/.github/workflows/rego.yaml,ubuntu-latest,0,1
github,artifact-attestations-opa-provider,.github/workflows/release.yaml,main,https://github.com/github/artifact-attestations-opa-provider/blob/705f59b1e727db309ed58c9104dc7e61afda3b7d/.github/workflows/release.yaml,ubuntu-latest,0,1
github,artifact-attestations-workflows,.github/workflows/attest.yml,main,https://github.com/github/artifact-attestations-workflows/blob/b12c36515b2514948499c93a6394fb178e272b4d/.github/workflows/attest.yml,ubuntu-latest,0,1
github,artifact-attestations-workflows,.github/workflows/build-pyfib.yml,main,https://github.com/github/artifact-attestations-workflows/blob/b12c36515b2514948499c93a6394fb178e272b4d/.github/workflows/build-pyfib.yml,ubuntu-latest,0,1
github,artifact-attestations-workflows,.github/workflows/ghcr-publish.yml,main,https://github.com/github/artifact-attestations-workflows/blob/b12c36515b2514948499c93a6394fb178e272b4d/.github/workflows/ghcr-publish.yml,ubuntu-latest,0,1
github,audit-actions-workflow-runs,.github/workflows/eslint.yml,main,https://github.com/github/audit-actions-workflow-runs/blob/36d34489203fd8aa37116d021105ae2a1e9caa0e/.github/workflows/eslint.yml,ubuntu-latest,0,1
github,audit-actions-workflow-runs,.github/workflows/publish.yml,main,https://github.com/github/audit-actions-workflow-runs/blob/36d34489203fd8aa37116d021105ae2a1e9caa0e/.github/workflows/publish.yml,ubuntu-latest,0,1
github,audit-actions-workflow-runs,.github/workflows/scorecard.yml,main,https://github.com/github/audit-actions-workflow-runs/blob/36d34489203fd8aa37116d021105ae2a1e9caa0e/.github/workflows/scorecard.yml,ubuntu-latest,0,1
github,audit-actions-workflow-runs,.github/workflows/test.yml,main,https://github.com/github/audit-actions-workflow-runs/blob/36d34489203fd8aa37116d021105ae2a1e9caa0e/.github/workflows/test.yml,ubuntu-latest,0,1
github,auto-check-element,.github/workflows/nodejs.yml,main,https://github.com/github/auto-check-element/blob/607feb2f638da6dc9248192774d35cb72645c264/.github/workflows/nodejs.yml,ubuntu-latest,0,1
