repo_name,workflow_path,job_name,runner,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
CodeSearchNet,test.yaml,basic_tests,ubuntu-latest,public,1,0,0,https://github.com/github/CodeSearchNet/blob/master/.github/workflows/test.yaml,https://github.com/github/CodeSearchNet
CopilotForXcode,auto-close-pr.yml,close,ubuntu-latest,public,0,0,0,https://github.com/github/CopilotForXcode/blob/main/.github/workflows/auto-close-pr.yml,https://github.com/github/CopilotForXcode
CopilotForXcode,auto-create-release-pr.yml,create-pr,ubuntu-latest,public,0,0,0,https://github.com/github/CopilotForXcode/blob/main/.github/workflows/auto-create-release-pr.yml,https://github.com/github/CopilotForXcode
DPG-guidance,community.yml,labeler,ubuntu-latest,public,1,0,0,https://github.com/github/DPG-guidance/blob/main/.github/workflows/community.yml,https://github.com/github/DPG-guidance
DPG-guidance,issue-auto-unassign.yml,unassign_issues,ubuntu-latest,public,1,0,0,https://github.com/github/DPG-guidance/blob/main/.github/workflows/issue-auto-unassign.yml,https://github.com/github/DPG-guidance
Dynamic-Template-Engine,Build.yml,build,macos-latest,public,1,0,0,https://github.com/github/Dynamic-Template-Engine/blob/master/.github/workflows/Build.yml,https://github.com/github/Dynamic-Template-Engine
Dynamic-Template-Engine,Build.yml,build,ubuntu-latest,public,1,0,0,https://github.com/github/Dynamic-Template-Engine/blob/master/.github/workflows/Build.yml,https://github.com/github/Dynamic-Template-Engine
Dynamic-Template-Engine,Build.yml,build,windows-latest,public,1,0,0,https://github.com/github/Dynamic-Template-Engine/blob/master/.github/workflows/Build.yml,https://github.com/github/Dynamic-Template-Engine
Dynamic-Template-Engine,CodeCoverage.yml,build,ubuntu-latest,public,1,0,0,https://github.com/github/Dynamic-Template-Engine/blob/master/.github/workflows/CodeCoverage.yml,https://github.com/github/Dynamic-Template-Engine
Dynamic-Template-Engine,codeql-analysis.yml,analyze,ubuntu-latest,public,1,0,0,https://github.com/github/Dynamic-Template-Engine/blob/master/.github/workflows/codeql-analysis.yml,https://github.com/github/Dynamic-Template-Engine
Dynamic-Template-Engine,lint.yml,lint,ubuntu-latest,public,1,0,0,https://github.com/github/Dynamic-Template-Engine/blob/master/.github/workflows/lint.yml,https://github.com/github/Dynamic-Template-Engine
GreenSoftwareDirectory,links_checkerPR.yml,linkChecker,ubuntu-latest,public,0,0,0,https://github.com/github/GreenSoftwareDirectory/blob/main/.github/workflows/links_checkerPR.yml,https://github.com/github/GreenSoftwareDirectory
KustoSchemaTools,dotnet-tests.yml,build,ubuntu-latest,public,0,0,0,https://github.com/github/KustoSchemaTools/blob/main/.github/workflows/dotnet-tests.yml,https://github.com/github/KustoSchemaTools
KustoSchemaTools,release.yml,build,ubuntu-latest,public,0,0,0,https://github.com/github/KustoSchemaTools/blob/main/.github/workflows/release.yml,https://github.com/github/KustoSchemaTools
KustoSchemaToolsAction,publish_image.yml,build-and-push-image,ubuntu-latest,public,1,0,0,https://github.com/github/KustoSchemaToolsAction/blob/main/.github/workflows/publish_image.yml,https://github.com/github/KustoSchemaToolsAction
Skills-Based-Volunteering-Public,Create-Team-Ack.yml,build,ubuntu-latest,public,0,0,0,https://github.com/github/Skills-Based-Volunteering-Public/blob/main/.github/workflows/Create-Team-Ack.yml,https://github.com/github/Skills-Based-Volunteering-Public
Skills-Based-Volunteering-Public,googleformtoissue.yml,build,ubuntu-latest,public,0,0,0,https://github.com/github/Skills-Based-Volunteering-Public/blob/main/.github/workflows/googleformtoissue.yml,https://github.com/github/Skills-Based-Volunteering-Public
