repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
actions-migrations-via-copilot,settings.yml,workflow,,secret,step,public,0,0,0,https://github.com/github/actions-migrations-via-copilot/blob/main/.github/workflows/settings.yml,https://github.com/github/actions-migrations-via-copilot
request-marketplace-action,approve-or-deny-request.yml,workflow,ACTIONS_APPROVED_ORG,variable,step,public,0,0,0,https://github.com/github/request-marketplace-action/blob/main/.github/workflows/approve-or-deny-request.yml,https://github.com/github/request-marketplace-action
request-marketplace-action,initialize-request.yml,workflow,ACTIONS_APPROVED_ORG,variable,step,public,0,0,0,https://github.com/github/request-marketplace-action/blob/main/.github/workflows/initialize-request.yml,https://github.com/github/request-marketplace-action
request-marketplace-action,approve-or-deny-request.yml,workflow,ACTIONS_APPROVERS_TEAM,variable,step,public,0,0,0,https://github.com/github/request-marketplace-action/blob/main/.github/workflows/approve-or-deny-request.yml,https://github.com/github/request-marketplace-action
gh-valet,add-issue-to-project.yml,workflow,ADD_TO_PROJECT_PAT,secret,step,public,1,0,0,https://github.com/github/gh-valet/blob/main/.github/workflows/add-issue-to-project.yml,https://github.com/github/gh-valet
octocatalog-diff,add-dependabot-pr-to-project.yml,workflow,ADD_TO_PROJECT_PAT,secret,step,public,0,0,0,https://github.com/github/octocatalog-diff/blob/master/.github/workflows/add-dependabot-pr-to-project.yml,https://github.com/github/octocatalog-diff
octofacts,add-dependabot-pr-to-project.yml,workflow,ADD_TO_PROJECT_PAT,secret,step,public,1,0,0,https://github.com/github/octofacts/blob/main/.github/workflows/add-dependabot-pr-to-project.yml,https://github.com/github/octofacts
request-marketplace-action,approve-or-deny-request.yml,workflow,ADMIN_OPS_ORG,variable,step,public,0,0,0,https://github.com/github/request-marketplace-action/blob/main/.github/workflows/approve-or-deny-request.yml,https://github.com/github/request-marketplace-action
github-artifact-exporter,release.yml,workflow,ADMIN_TOKEN,secret,step,public,1,0,0,https://github.com/github/github-artifact-exporter/blob/main/.github/workflows/release.yml,https://github.com/github/github-artifact-exporter
gh-gei,CI.yml,workflow,ADO_PAT,secret,step,public,0,0,0,https://github.com/github/gh-gei/blob/main/.github/workflows/CI.yml,https://github.com/github/gh-gei
gh-gei,integration-tests.yml,workflow,ADO_PAT,secret,step,public,0,0,0,https://github.com/github/gh-gei/blob/main/.github/workflows/integration-tests.yml,https://github.com/github/gh-gei
