action_org,action_repo,action_workflow,action_fork,action_archived,action_stars,action_trusted_org,action_deprecated,action_ref,action_ref_type,action_ref_resolved_to,action_ref_resolved_type,action_url,parent_org,parent_repo,parent_workflow,parent_fork,parent_archived,parent_ref,parent_ref_type,parent_url
aarnott,nbgv,aarnott/nbgv,0,0,56,0,0,v0.3,tag,059d68b676548ee796f08ab143ad660a2c8a758f,commit,https://github.com/aarnott/nbgv/tree/059d68b676548ee796f08ab143ad660a2c8a758f/action.yml,github,VisualStudio,.github/workflows/main.yml,0,1,master,branch,https://github.com/github/VisualStudio/blob/6d428ef3bb1848ae0ece98fd57c9c8fa564aed7f/.github/workflows/main.yml
abirismyname,create-discussion,abirismyname/create-discussion,0,0,17,0,0,v2.1.0,tag,c2b7c825241769dda523865ae444a879f6bbd0e0,commit,https://github.com/abirismyname/create-discussion/tree/c2b7c825241769dda523865ae444a879f6bbd0e0/action.yml,github,github-ospo,.github/workflows/contributors.yml,0,0,main,branch,https://github.com/github/github-ospo/blob/a49d2554f3cce7a9c4326d5f366e851dc89f6750/.github/workflows/contributors.yml
abirismyname,create-discussion,abirismyname/create-discussion,0,0,17,0,0,c2b7c825241769dda523865ae444a879f6bbd0e0,commit,v2.1.0,tag,https://github.com/abirismyname/create-discussion/tree/c2b7c825241769dda523865ae444a879f6bbd0e0/action.yml,github,ospo-reusable-workflows,.github/workflows/release-discussion.yaml,0,0,main,branch,https://github.com/github/ospo-reusable-workflows/blob/8f81b19525b174210351d8c53b2efe6a316984f8/.github/workflows/release-discussion.yaml
actions-rust-lang,setup-rust-toolchain,actions-rust-lang/setup-rust-toolchain,0,0,322,0,0,v1,tag,1780873c7b576612439a134613cc4cc74ce5538c,commit,https://github.com/actions-rust-lang/setup-rust-toolchain/tree/1780873c7b576612439a134613cc4cc74ce5538c/action.yml,github,ruby,.github/workflows/modgc.yml,1,0,master,branch,https://github.com/github/ruby/blob/f0a76f6295ce1ac2cbc7f3152949301afa95d42e/.github/workflows/modgc.yml
actions,add-to-project,actions/add-to-project,0,0,655,1,0,v1.0.2,tag,244f685bbc3b7adfa8466e08b698b5577571133e,commit,https://github.com/actions/add-to-project/tree/244f685bbc3b7adfa8466e08b698b5577571133e/action.yml,github,octocatalog-diff,.github/workflows/add-dependabot-pr-to-project.yml,0,0,master,branch,https://github.com/github/octocatalog-diff/blob/59d46a61f7cddcd6684c3750878a86b9eeceb104/.github/workflows/add-dependabot-pr-to-project.yml
actions,add-to-project,actions/add-to-project,0,0,655,1,0,v1.0.2,tag,244f685bbc3b7adfa8466e08b698b5577571133e,commit,https://github.com/actions/add-to-project/tree/244f685bbc3b7adfa8466e08b698b5577571133e/action.yml,github,octofacts,.github/workflows/add-dependabot-pr-to-project.yml,0,1,main,branch,https://github.com/github/octofacts/blob/7a790a3c28dbe0e7a32103c11b95ce0e44c19c30/.github/workflows/add-dependabot-pr-to-project.yml
actions,add-to-project,actions/add-to-project,0,0,655,1,0,main,branch,4fda2e598c349fd1d6770dc6df8b0b61158c3e90,commit,https://github.com/actions/add-to-project/tree/4fda2e598c349fd1d6770dc6df8b0b61158c3e90/action.yml,github,gh-valet,.github/workflows/add-issue-to-project.yml,0,1,main,branch,https://github.com/github/gh-valet/blob/0e8c1752bae5bf5fe483c7b1927e647abf24f288/.github/workflows/add-issue-to-project.yml
actions,add-to-project,actions/add-to-project,0,0,655,1,0,main,branch,4fda2e598c349fd1d6770dc6df8b0b61158c3e90,commit,https://github.com/actions/add-to-project/tree/4fda2e598c349fd1d6770dc6df8b0b61158c3e90/action.yml,github,rest-api-description,.github/workflows/add-to-project.yml,0,0,main,branch,https://github.com/github/rest-api-description/blob/45124e4c9ec27bbbfa40dd67c1b8d8341099195f/.github/workflows/add-to-project.yml
actions,attest-build-provenance,actions/attest-build-provenance,0,0,740,1,0,v1,tag,92c65d2898f1f53cfdc910b962cecff86e7f8fcc,commit,https://github.com/actions/attest-build-provenance/tree/92c65d2898f1f53cfdc910b962cecff86e7f8fcc/action.yml,github,entitlements-app,.github/workflows/release.yml,0,0,main,branch,https://github.com/github/entitlements-app/blob/1a349390eeb999bf05a3721cd4e68503c7d95953/.github/workflows/release.yml
actions,attest-build-provenance,actions/attest-build-provenance,0,0,740,1,0,v3,tag,43d14bc2b83dec42d39ecae14e916627a18bb661,commit,https://github.com/actions/attest-build-provenance/tree/43d14bc2b83dec42d39ecae14e916627a18bb661/action.yml,github,github-mcp-server,.github/workflows/goreleaser.yml,0,0,main,branch,https://github.com/github/github-mcp-server/blob/84ae0092e69085aef67a8f7e88d8d0eb25e7e1ce/.github/workflows/goreleaser.yml
