org_name,repo_name,workflow_path,workflow_type,visibility,archived,forked,workflow_url,repo_url,action_org_name,action_repo_name,action_workflow_path,action_fullname,action_archived,action_forked,action_stars,action_url,action_repo_url
github,DPG-guidance,community.yml,workflow,public,1,0,https://github.com/github/DPG-guidance/blob/392533fe140d4388d583c0b872ba0692f05255ca/.github/workflows/community.yml,https://github.com/github/DPG-guidance,jimschubert,labeler-action,action.yml,jimschubert/labeler-action@v2,0,0,44,https://github.com/jimschubert/labeler-action/blob/v2/action.yml,https://github.com/jimschubert/labeler-action
github,DPG-guidance,issue-auto-unassign.yml,workflow,public,1,0,https://github.com/github/DPG-guidance/blob/392533fe140d4388d583c0b872ba0692f05255ca/.github/workflows/issue-auto-unassign.yml,https://github.com/github/DPG-guidance,rubyforgood,unassign-issues,action.yml,rubyforgood/unassign-issues@v1,0,0,0,https://github.com/rubyforgood/unassign-issues/blob/v1/action.yml,https://github.com/rubyforgood/unassign-issues
github,Dynamic-Template-Engine,CodeCoverage.yml,workflow,public,1,0,https://github.com/github/Dynamic-Template-Engine/blob/75ced672ac164cdb0fa3e3656269c42f01eb5fcf/.github/workflows/CodeCoverage.yml,https://github.com/github/Dynamic-Template-Engine,anuraag016,Jest-Coverage-Diff,action.yml,anuraag016/Jest-Coverage-Diff@V1.3.1,0,0,61,https://github.com/anuraag016/Jest-Coverage-Diff/blob/V1.3.1/action.yml,https://github.com/anuraag016/Jest-Coverage-Diff
github,GreenSoftwareDirectory,links_checkerPR.yml,workflow,public,0,0,https://github.com/github/GreenSoftwareDirectory/blob/d8401537d2c2185edf018431a05779119d3458ad/.github/workflows/links_checkerPR.yml,https://github.com/github/GreenSoftwareDirectory,lycheeverse,lychee-action,action.yml,lycheeverse/lychee-action@v1,0,0,491,https://github.com/lycheeverse/lychee-action/blob/v1/action.yml,https://github.com/lycheeverse/lychee-action
github,GreenSoftwareDirectory,links_checkerPR.yml,workflow,public,0,0,https://github.com/github/GreenSoftwareDirectory/blob/d8401537d2c2185edf018431a05779119d3458ad/.github/workflows/links_checkerPR.yml,https://github.com/github/GreenSoftwareDirectory,peter-evans,create-or-update-comment,action.yml,peter-evans/create-or-update-comment@v4,0,0,924,https://github.com/peter-evans/create-or-update-comment/blob/v4/action.yml,https://github.com/peter-evans/create-or-update-comment
github,Skills-Based-Volunteering-Public,Create-Team-Ack.yml,workflow,public,0,0,https://github.com/github/Skills-Based-Volunteering-Public/blob/25cdd7dfee07d3d05686c274210631ffd41d23d8/.github/workflows/Create-Team-Ack.yml,https://github.com/github/Skills-Based-Volunteering-Public,migarjo,issue-from-template,action.yml,migarjo/issue-from-template@master,0,1,0,https://github.com/migarjo/issue-from-template/blob/master/action.yml,https://github.com/migarjo/issue-from-template
github,Skills-Based-Volunteering-Public,googleformtoissue.yml,workflow,public,0,0,https://github.com/github/Skills-Based-Volunteering-Public/blob/25cdd7dfee07d3d05686c274210631ffd41d23d8/.github/workflows/googleformtoissue.yml,https://github.com/github/Skills-Based-Volunteering-Public,nashmaniac,create-issue-action,action.yaml,nashmaniac/create-issue-action@v1.1,0,0,4,https://github.com/nashmaniac/create-issue-action/blob/v1.1/action.yaml,https://github.com/nashmaniac/create-issue-action
github,TUIKit,specs-ci.yml,workflow,public,0,0,https://github.com/github/TUIKit/blob/98cda4f6825518a8d9a900459b4ee79c3a32895d/.github/workflows/specs-ci.yml,https://github.com/github/TUIKit,oven-sh,setup-bun,action.yml,oven-sh/setup-bun@v2,0,0,702,https://github.com/oven-sh/setup-bun/blob/v2/action.yml,https://github.com/oven-sh/setup-bun
github,VisualStudio,main.yml,workflow,public,1,0,https://github.com/github/VisualStudio/blob/6d428ef3bb1848ae0ece98fd57c9c8fa564aed7f/.github/workflows/main.yml,https://github.com/github/VisualStudio,aarnott,nbgv,action.yml,aarnott/nbgv@v0.3,0,0,59,https://github.com/aarnott/nbgv/blob/v0.3/action.yml,https://github.com/aarnott/nbgv
github,VisualStudio,main.yml,workflow,public,1,0,https://github.com/github/VisualStudio/blob/6d428ef3bb1848ae0ece98fd57c9c8fa564aed7f/.github/workflows/main.yml,https://github.com/github/VisualStudio,microsoft,setup-msbuild,action.yml,microsoft/setup-msbuild@v1.0.0,0,0,391,https://github.com/microsoft/setup-msbuild/blob/v1.0.0/action.yml,https://github.com/microsoft/setup-msbuild
github,VisualStudio,main.yml,workflow,public,1,0,https://github.com/github/VisualStudio/blob/6d428ef3bb1848ae0ece98fd57c9c8fa564aed7f/.github/workflows/main.yml,https://github.com/github/VisualStudio,nuget,setup-nuget,action.yml,nuget/setup-nuget@v1,0,0,90,https://github.com/nuget/setup-nuget/blob/v1/action.yml,https://github.com/nuget/setup-nuget
github,VisualStudio,main.yml,workflow,public,1,0,https://github.com/github/VisualStudio/blob/6d428ef3bb1848ae0ece98fd57c9c8fa564aed7f/.github/workflows/main.yml,https://github.com/github/VisualStudio,darenm,Setup-VSTest,action.yml,darenm/Setup-VSTest@v1,0,0,28,https://github.com/darenm/Setup-VSTest/blob/v1/action.yml,https://github.com/darenm/Setup-VSTest
github,ai-moderator,licensed.yml,workflow,public,0,0,https://github.com/github/ai-moderator/blob/12f6962ee336bb1a1b3c5c9e96e71746a6708634/.github/workflows/licensed.yml,https://github.com/github/ai-moderator,ruby,setup-ruby,action.yml,ruby/setup-ruby@v1,0,0,978,https://github.com/ruby/setup-ruby/blob/v1/action.yml,https://github.com/ruby/setup-ruby
github,ai-moderator,licensed.yml,workflow,public,0,0,https://github.com/github/ai-moderator/blob/12f6962ee336bb1a1b3c5c9e96e71746a6708634/.github/workflows/licensed.yml,https://github.com/github/ai-moderator,licensee,setup-licensed,action.yml,licensee/setup-licensed@v1.3.2,0,0,4,https://github.com/licensee/setup-licensed/blob/v1.3.2/action.yml,https://github.com/licensee/setup-licensed
github,backup-utils,close-pulls.yml,workflow,public,0,0,https://github.com/github/backup-utils/blob/881b172d23d0db453d70bf34820e5f10780983a4/.github/workflows/close-pulls.yml,https://github.com/github/backup-utils,peter-evans,close-fork-pulls,action.yml,peter-evans/close-fork-pulls@v2,0,0,6,https://github.com/peter-evans/close-fork-pulls/blob/v2/action.yml,https://github.com/peter-evans/close-fork-pulls
github,balanced-employee-ip-agreement,main.yml,workflow,public,0,0,https://github.com/github/balanced-employee-ip-agreement/blob/fa0970b62e3258276bb7a7008824ea397d029714/.github/workflows/main.yml,https://github.com/github/balanced-employee-ip-agreement,gaurav-nelson,github-action-markdown-link-check,action.yml,gaurav-nelson/github-action-markdown-link-check@v1,1,0,419,https://github.com/gaurav-nelson/github-action-markdown-link-check/blob/v1/action.yml,https://github.com/gaurav-nelson/github-action-markdown-link-check
github,catalyst,lighthouse.yml,workflow,public,0,0,https://github.com/github/catalyst/blob/99f0747255dbb0a3143196ff255e0954abbd9ec4/.github/workflows/lighthouse.yml,https://github.com/github/catalyst,ruby,setup-ruby,action.yml,ruby/setup-ruby@v1,0,0,978,https://github.com/ruby/setup-ruby/blob/v1/action.yml,https://github.com/ruby/setup-ruby
github,chatops-controller,ruby.yml,workflow,public,0,0,https://github.com/github/chatops-controller/blob/1164271c5db4ac152221bfda45c59b27809a6820/.github/workflows/ruby.yml,https://github.com/github/chatops-controller,ruby,setup-ruby,action.yml,ruby/setup-ruby@v1,0,0,978,https://github.com/ruby/setup-ruby/blob/v1/action.yml,https://github.com/ruby/setup-ruby
github,check-all,nodejs.yml,workflow,public,0,0,https://github.com/github/check-all/blob/f30545719c7ae088c9437da4d75e02e6d5643a20/.github/workflows/nodejs.yml,https://github.com/github/check-all,browser-actions,setup-chrome,action.yml,browser-actions/setup-chrome@v1,0,0,221,https://github.com/browser-actions/setup-chrome/blob/v1/action.yml,https://github.com/browser-actions/setup-chrome
github,cmark-gfm,ci.yml,workflow,public,0,1,https://github.com/github/cmark-gfm/blob/587a12bb54d95ac37241377e6ddc93ea0e45439b/.github/workflows/ci.yml,https://github.com/github/cmark-gfm,ilammy,msvc-dev-cmd,action.yml,ilammy/msvc-dev-cmd@v1,0,0,407,https://github.com/ilammy/msvc-dev-cmd/blob/v1/action.yml,https://github.com/ilammy/msvc-dev-cmd
github,codeql-action-sync-tool,ci.yml,workflow,public,0,0,https://github.com/github/codeql-action-sync-tool/blob/78403c4bc9d550010d70018ba9d71e122b8e26ef/.github/workflows/ci.yml,https://github.com/github/codeql-action-sync-tool,goreleaser,goreleaser-action,action.yml,goreleaser/goreleaser-action@v6,0,0,1013,https://github.com/goreleaser/goreleaser-action/blob/v6/action.yml,https://github.com/goreleaser/goreleaser-action
github,codeql-action-sync-tool,ci.yml,workflow,public,0,0,https://github.com/github/codeql-action-sync-tool/blob/78403c4bc9d550010d70018ba9d71e122b8e26ef/.github/workflows/ci.yml,https://github.com/github/codeql-action-sync-tool,golangci,golangci-lint-action,action.yml,golangci/golangci-lint-action@v8,0,0,1435,https://github.com/golangci/golangci-lint-action/blob/v8/action.yml,https://github.com/golangci/golangci-lint-action
github,codeql-action-sync-tool,ci.yml,workflow,public,0,0,https://github.com/github/codeql-action-sync-tool/blob/78403c4bc9d550010d70018ba9d71e122b8e26ef/.github/workflows/ci.yml,https://github.com/github/codeql-action-sync-tool,jonabc,setup-licensed,action.yml,jonabc/setup-licensed@v1,0,1,0,https://github.com/jonabc/setup-licensed/blob/v1/action.yml,https://github.com/jonabc/setup-licensed
github,codeql-action-sync-tool,release.yml,workflow,public,0,0,https://github.com/github/codeql-action-sync-tool/blob/78403c4bc9d550010d70018ba9d71e122b8e26ef/.github/workflows/release.yml,https://github.com/github/codeql-action-sync-tool,goreleaser,goreleaser-action,action.yml,goreleaser/goreleaser-action@v6,0,0,1013,https://github.com/goreleaser/goreleaser-action/blob/v6/action.yml,https://github.com/goreleaser/goreleaser-action
github,codeql-learninglab-actions,ci.yml,workflow,public,1,0,https://github.com/github/codeql-learninglab-actions/blob/cf738081710abe6821edff26986cf3e085f46850/.github/workflows/ci.yml,https://github.com/github/codeql-learninglab-actions,technote-space,toc-generator,action.yml,technote-space/toc-generator@v2.1.0,0,0,245,https://github.com/technote-space/toc-generator/blob/v2.1.0/action.yml,https://github.com/technote-space/toc-generator
github,copilot-cli-for-beginners,co-op-translator.yml,workflow,public,0,0,https://github.com/github/copilot-cli-for-beginners/blob/53326395c92a281f0075c3412d59e37a292df427/.github/workflows/co-op-translator.yml,https://github.com/github/copilot-cli-for-beginners,peter-evans,create-pull-request,action.yml,peter-evans/create-pull-request@v7,0,0,2803,https://github.com/peter-evans/create-pull-request/blob/v7/action.yml,https://github.com/peter-evans/create-pull-request
github,copilot-release-notes,release.yml,workflow,public,0,0,https://github.com/github/copilot-release-notes/blob/9eea0a5e7bcf7d5bdb8942b66d36b4b82dea631b/.github/workflows/release.yml,https://github.com/github/copilot-release-notes,softprops,action-gh-release,action.yml,softprops/action-gh-release@v2,0,0,5670,https://github.com/softprops/action-gh-release/blob/v2/action.yml,https://github.com/softprops/action-gh-release
github,copilot-sdk,codegen-check.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/codegen-check.yml,https://github.com/github/copilot-sdk,dtolnay,rust-toolchain,action.yml,dtolnay/rust-toolchain@stable,0,0,1540,https://github.com/dtolnay/rust-toolchain/blob/stable/action.yml,https://github.com/dtolnay/rust-toolchain
github,copilot-sdk,codegen-check.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/codegen-check.yml,https://github.com/github/copilot-sdk,dtolnay,rust-toolchain,action.yml,dtolnay/rust-toolchain@master,0,0,1540,https://github.com/dtolnay/rust-toolchain/blob/master/action.yml,https://github.com/dtolnay/rust-toolchain
github,copilot-sdk,copilot-setup-steps.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/copilot-setup-steps.yml,https://github.com/github/copilot-sdk,astral-sh,setup-uv,action.yml,astral-sh/setup-uv@v7,0,0,792,https://github.com/astral-sh/setup-uv/blob/v7/action.yml,https://github.com/astral-sh/setup-uv
github,copilot-sdk,copilot-setup-steps.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/copilot-setup-steps.yml,https://github.com/github/copilot-sdk,extractions,setup-just,action.yaml,extractions/setup-just@v3,0,0,150,https://github.com/extractions/setup-just/blob/v3/action.yaml,https://github.com/extractions/setup-just
github,copilot-sdk,docs-validation.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/docs-validation.yml,https://github.com/github/copilot-sdk,astral-sh,setup-uv,action.yml,astral-sh/setup-uv@v7,0,0,792,https://github.com/astral-sh/setup-uv/blob/v7/action.yml,https://github.com/astral-sh/setup-uv
github,copilot-sdk,go-sdk-tests.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/go-sdk-tests.yml,https://github.com/github/copilot-sdk,golangci,golangci-lint-action,action.yml,golangci/golangci-lint-action@v9,0,0,1435,https://github.com/golangci/golangci-lint-action/blob/v9/action.yml,https://github.com/golangci/golangci-lint-action
github,copilot-sdk,publish.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/publish.yml,https://github.com/github/copilot-sdk,astral-sh,setup-uv,action.yml,astral-sh/setup-uv@v7,0,0,792,https://github.com/astral-sh/setup-uv/blob/v7/action.yml,https://github.com/astral-sh/setup-uv
github,copilot-sdk,publish.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/publish.yml,https://github.com/github/copilot-sdk,dtolnay,rust-toolchain,action.yml,dtolnay/rust-toolchain@stable,0,0,1540,https://github.com/dtolnay/rust-toolchain/blob/stable/action.yml,https://github.com/dtolnay/rust-toolchain
github,copilot-sdk,publish.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/publish.yml,https://github.com/github/copilot-sdk,nuget,login,action.yml,nuget/login@v1,0,0,12,https://github.com/nuget/login/blob/v1/action.yml,https://github.com/nuget/login
github,copilot-sdk,publish.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/publish.yml,https://github.com/github/copilot-sdk,Swatinem,rust-cache,action.yml,Swatinem/rust-cache@v2,0,0,1835,https://github.com/Swatinem/rust-cache/blob/v2/action.yml,https://github.com/Swatinem/rust-cache
github,copilot-sdk,publish.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/publish.yml,https://github.com/github/copilot-sdk,pypa,gh-action-pypi-publish,action.yml,pypa/gh-action-pypi-publish@release/v1,0,0,1171,https://github.com/pypa/gh-action-pypi-publish/blob/release/v1/action.yml,https://github.com/pypa/gh-action-pypi-publish
github,copilot-sdk,python-sdk-tests.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/python-sdk-tests.yml,https://github.com/github/copilot-sdk,astral-sh,setup-uv,action.yml,astral-sh/setup-uv@v7,0,0,792,https://github.com/astral-sh/setup-uv/blob/v7/action.yml,https://github.com/astral-sh/setup-uv
github,copilot-sdk,rust-sdk-tests.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/rust-sdk-tests.yml,https://github.com/github/copilot-sdk,dtolnay,rust-toolchain,action.yml,dtolnay/rust-toolchain@stable,0,0,1540,https://github.com/dtolnay/rust-toolchain/blob/stable/action.yml,https://github.com/dtolnay/rust-toolchain
github,copilot-sdk,rust-sdk-tests.yml,workflow,public,0,0,https://github.com/github/copilot-sdk/blob/4685618bdf1c5ccd5c98abc91fc8e23f1a06738c/.github/workflows/rust-sdk-tests.yml,https://github.com/github/copilot-sdk,dtolnay,rust-toolchain,action.yml,dtolnay/rust-toolchain@master,0,0,1540,https://github.com/dtolnay/rust-toolchain/blob/master/action.yml,https://github.com/dtolnay/rust-toolchain
