repo_name,workflow_path,workflow_type,visibility,archived,forked,total_jobs,reusable_workflow,workflow_url,repo_url
CodeSearchNet,test.yaml,workflow,public,1,0,1,0,https://github.com/github/CodeSearchNet/blob/master/.github/workflows/test.yaml,https://github.com/github/CodeSearchNet
CopilotForXcode,.github/actions/set-xcode-version/action.yml,action,public,0,0,1,0,https://github.com/github/CopilotForXcode/blob/main/.github/actions/set-xcode-version/action.yml,https://github.com/github/CopilotForXcode
CopilotForXcode,auto-close-pr.yml,workflow,public,0,0,1,0,https://github.com/github/CopilotForXcode/blob/main/.github/workflows/auto-close-pr.yml,https://github.com/github/CopilotForXcode
CopilotForXcode,auto-create-release-pr.yml,workflow,public,0,0,1,0,https://github.com/github/CopilotForXcode/blob/main/.github/workflows/auto-create-release-pr.yml,https://github.com/github/CopilotForXcode
CopilotForXcode,codeql.yml,workflow,public,0,0,1,0,https://github.com/github/CopilotForXcode/blob/main/.github/workflows/codeql.yml,https://github.com/github/CopilotForXcode
DPG-guidance,community.yml,workflow,public,1,0,1,0,https://github.com/github/DPG-guidance/blob/main/.github/workflows/community.yml,https://github.com/github/DPG-guidance
DPG-guidance,issue-auto-unassign.yml,workflow,public,1,0,1,0,https://github.com/github/DPG-guidance/blob/main/.github/workflows/issue-auto-unassign.yml,https://github.com/github/DPG-guidance
Dynamic-Template-Engine,Build.yml,workflow,public,1,0,1,0,https://github.com/github/Dynamic-Template-Engine/blob/master/.github/workflows/Build.yml,https://github.com/github/Dynamic-Template-Engine
Dynamic-Template-Engine,CodeCoverage.yml,workflow,public,1,0,1,0,https://github.com/github/Dynamic-Template-Engine/blob/master/.github/workflows/CodeCoverage.yml,https://github.com/github/Dynamic-Template-Engine
Dynamic-Template-Engine,codeql-analysis.yml,workflow,public,1,0,1,0,https://github.com/github/Dynamic-Template-Engine/blob/master/.github/workflows/codeql-analysis.yml,https://github.com/github/Dynamic-Template-Engine
Dynamic-Template-Engine,lint.yml,workflow,public,1,0,1,0,https://github.com/github/Dynamic-Template-Engine/blob/master/.github/workflows/lint.yml,https://github.com/github/Dynamic-Template-Engine
GreenSoftwareDirectory,links_checkerPR.yml,workflow,public,0,0,1,0,https://github.com/github/GreenSoftwareDirectory/blob/main/.github/workflows/links_checkerPR.yml,https://github.com/github/GreenSoftwareDirectory
KustoSchemaTools,dotnet-tests.yml,workflow,public,0,0,1,0,https://github.com/github/KustoSchemaTools/blob/main/.github/workflows/dotnet-tests.yml,https://github.com/github/KustoSchemaTools
KustoSchemaTools,release.yml,workflow,public,0,0,1,0,https://github.com/github/KustoSchemaTools/blob/main/.github/workflows/release.yml,https://github.com/github/KustoSchemaTools
KustoSchemaToolsAction,publish_image.yml,workflow,public,1,0,1,0,https://github.com/github/KustoSchemaToolsAction/blob/main/.github/workflows/publish_image.yml,https://github.com/github/KustoSchemaToolsAction
Skills-Based-Volunteering-Public,Create-Team-Ack.yml,workflow,public,0,0,1,0,https://github.com/github/Skills-Based-Volunteering-Public/blob/main/.github/workflows/Create-Team-Ack.yml,https://github.com/github/Skills-Based-Volunteering-Public
Skills-Based-Volunteering-Public,googleformtoissue.yml,workflow,public,0,0,1,0,https://github.com/github/Skills-Based-Volunteering-Public/blob/main/.github/workflows/googleformtoissue.yml,https://github.com/github/Skills-Based-Volunteering-Public
TUIKit,specs-ci.yml,workflow,public,0,0,1,0,https://github.com/github/TUIKit/blob/main/.github/workflows/specs-ci.yml,https://github.com/github/TUIKit
VisualStudio,main.yml,workflow,public,1,0,1,0,https://github.com/github/VisualStudio/blob/master/.github/workflows/main.yml,https://github.com/github/VisualStudio
accessibility-alt-text-bot,action.yml,action,public,0,0,1,0,https://github.com/github/accessibility-alt-text-bot/blob/main/action.yml,https://github.com/github/accessibility-alt-text-bot
accessibility-alt-text-bot,action.yml,action,public,0,0,1,0,https://github.com/github/accessibility-alt-text-bot/blob/v1.6.0/action.yml,https://github.com/github/accessibility-alt-text-bot
accessibility-alt-text-bot,action.yml,action,public,0,0,1,0,https://github.com/github/accessibility-alt-text-bot/blob/v1.7.3/action.yml,https://github.com/github/accessibility-alt-text-bot
accessibility-alt-text-bot,action.yml,action,public,0,0,1,0,https://github.com/github/accessibility-alt-text-bot/blob/7e895d46677f15841def9acef1239ea7c12593a5/action.yml,https://github.com/github/accessibility-alt-text-bot
accessibility-alt-text-bot,ci.yml,workflow,public,0,0,1,0,https://github.com/github/accessibility-alt-text-bot/blob/main/.github/workflows/ci.yml,https://github.com/github/accessibility-alt-text-bot
accessibility-alt-text-bot,test-accessibility-alt-text-bot.yml,workflow,public,0,0,1,0,https://github.com/github/accessibility-alt-text-bot/blob/main/.github/workflows/test-accessibility-alt-text-bot.yml,https://github.com/github/accessibility-alt-text-bot
accessibility-scanner,./action.yml,action,public,0,0,1,0,https://github.com/github/accessibility-scanner/blob/main/./action.yml,https://github.com/github/accessibility-scanner
accessibility-scanner,.github/actions/gh-cache/delete/action.yml,action,public,0,0,1,0,https://github.com/github/accessibility-scanner/blob/main/.github/actions/gh-cache/delete/action.yml,https://github.com/github/accessibility-scanner
accessibility-scanner,.github/actions/gh-cache/restore/action.yml,action,public,0,0,1,0,https://github.com/github/accessibility-scanner/blob/main/.github/actions/gh-cache/restore/action.yml,https://github.com/github/accessibility-scanner
accessibility-scanner,lint.yml,workflow,public,0,0,1,0,https://github.com/github/accessibility-scanner/blob/main/.github/workflows/lint.yml,https://github.com/github/accessibility-scanner
accessibility-scanner,test.yml,workflow,public,0,0,1,0,https://github.com/github/accessibility-scanner/blob/main/.github/workflows/test.yml,https://github.com/github/accessibility-scanner
actions-cheat-sheet,build.yml,workflow,public,1,0,1,0,https://github.com/github/actions-cheat-sheet/blob/master/.github/workflows/build.yml,https://github.com/github/actions-cheat-sheet
actions-cheat-sheet,experiment-with-label.yml,workflow,public,1,0,1,0,https://github.com/github/actions-cheat-sheet/blob/master/.github/workflows/experiment-with-label.yml,https://github.com/github/actions-cheat-sheet
actions-migrations-via-copilot,settings.yml,workflow,public,0,0,1,0,https://github.com/github/actions-migrations-via-copilot/blob/main/.github/workflows/settings.yml,https://github.com/github/actions-migrations-via-copilot
actions-migrations-via-copilot,submit-repos.yml,workflow,public,0,0,1,0,https://github.com/github/actions-migrations-via-copilot/blob/main/.github/workflows/submit-repos.yml,https://github.com/github/actions-migrations-via-copilot
actions-oidc-debugger,./action.yml,action,public,1,0,1,0,https://github.com/github/actions-oidc-debugger/blob/main/./action.yml,https://github.com/github/actions-oidc-debugger
