org,repo,workflow,fork,archived,stars,visibility,ref,ref_type,ref_resolved_to,ref_resolved_type,workflow_type,workflow_url,jobs_count,workflow_status,parent_workflows,event_triggers
github,accessibility-alt-text-bot,.github/workflows/ci.yml,0,0,85,public,main,branch,ac0d43db5cac2c3e40830f91993b1824e422bf8e,commit,workflow,https://github.com/github/accessibility-alt-text-bot/blob/ac0d43db5cac2c3e40830f91993b1824e422bf8e/.github/workflows/ci.yml,1,,,"push,workflow_dispatch,pull_request"
github,accessibility-alt-text-bot,.github/workflows/test-accessibility-alt-text-bot.yml,0,0,85,public,main,branch,ac0d43db5cac2c3e40830f91993b1824e422bf8e,commit,workflow,https://github.com/github/accessibility-alt-text-bot/blob/ac0d43db5cac2c3e40830f91993b1824e422bf8e/.github/workflows/test-accessibility-alt-text-bot.yml,1,,,"issues,pull_request,issue_comment,discussion,discussion_comment"
github,accessibility-alt-text-bot,action.yml,0,0,85,public,main,branch,ac0d43db5cac2c3e40830f91993b1824e422bf8e,commit,action,https://github.com/github/accessibility-alt-text-bot/blob/ac0d43db5cac2c3e40830f91993b1824e422bf8e/action.yml,1,,,
github,accessibility-scanner,.github/workflows/test.yml,0,0,49,public,main,branch,bdf0e23620cf9272e22e5f9de2524401c828bc5a,commit,workflow,https://github.com/github/accessibility-scanner/blob/bdf0e23620cf9272e22e5f9de2524401c828bc5a/.github/workflows/test.yml,1,,,"pull_request,workflow_dispatch"
github,accessibility-scanner,./action.yml,0,0,49,public,main,branch,bdf0e23620cf9272e22e5f9de2524401c828bc5a,commit,action,https://github.com/github/accessibility-scanner/blob/bdf0e23620cf9272e22e5f9de2524401c828bc5a/./action.yml,1,,,
github,accessibility-scanner,.github/actions/gh-cache/restore/action.yml,0,0,49,public,main,branch,bdf0e23620cf9272e22e5f9de2524401c828bc5a,commit,action,https://github.com/github/accessibility-scanner/blob/bdf0e23620cf9272e22e5f9de2524401c828bc5a/.github/actions/gh-cache/restore/action.yml,1,,,
github,accessibility-scanner,.github/actions/gh-cache/delete/action.yml,0,0,49,public,main,branch,bdf0e23620cf9272e22e5f9de2524401c828bc5a,commit,action,https://github.com/github/accessibility-scanner/blob/bdf0e23620cf9272e22e5f9de2524401c828bc5a/.github/actions/gh-cache/delete/action.yml,1,,,
github,actions-cheat-sheet,.github/workflows/build.yml,0,1,224,public,master,branch,ea7013e91dbc9460f1e5b44eae459c14b3df89d5,commit,workflow,https://github.com/github/actions-cheat-sheet/blob/ea7013e91dbc9460f1e5b44eae459c14b3df89d5/.github/workflows/build.yml,1,,,push
github,actions-cheat-sheet,.github/workflows/experiment-with-label.yml,0,1,224,public,master,branch,ea7013e91dbc9460f1e5b44eae459c14b3df89d5,commit,workflow,https://github.com/github/actions-cheat-sheet/blob/ea7013e91dbc9460f1e5b44eae459c14b3df89d5/.github/workflows/experiment-with-label.yml,1,,,pull_request
github,actions-oidc-debugger,.github/workflows/action-test.yml,0,1,109,public,main,branch,bc12dcf1a852221e54f27c95b2db36d135c1b97f,commit,workflow,https://github.com/github/actions-oidc-debugger/blob/bc12dcf1a852221e54f27c95b2db36d135c1b97f/.github/workflows/action-test.yml,1,,,"pull_request,workflow_dispatch"
github,actions-oidc-debugger,.github/workflows/main.yml,0,1,109,public,main,branch,bc12dcf1a852221e54f27c95b2db36d135c1b97f,commit,workflow,https://github.com/github/actions-oidc-debugger/blob/bc12dcf1a852221e54f27c95b2db36d135c1b97f/.github/workflows/main.yml,1,,,"pull_request,workflow_dispatch"
github,actions-oidc-debugger,./action.yml,0,1,109,public,main,branch,bc12dcf1a852221e54f27c95b2db36d135c1b97f,commit,action,https://github.com/github/actions-oidc-debugger/blob/bc12dcf1a852221e54f27c95b2db36d135c1b97f/./action.yml,1,,,
github,actions-oidc-gateway-example,.github/workflows/ci.yml,0,0,99,public,main,branch,49d42c28f5bab2f683220416cd783e66d95e1a87,commit,workflow,https://github.com/github/actions-oidc-gateway-example/blob/49d42c28f5bab2f683220416cd783e66d95e1a87/.github/workflows/ci.yml,1,,,"push,workflow_dispatch"
github,advisory-database,.github/workflows/create_staging_branch.yaml,0,0,2016,public,main,branch,2678cafb8ac7a468d98ab735aa20eb7ac69b03af,commit,workflow,https://github.com/github/advisory-database/blob/2678cafb8ac7a468d98ab735aa20eb7ac69b03af/.github/workflows/create_staging_branch.yaml,1,,,"pull_request_target,workflow_dispatch"
github,advisory-database,.github/workflows/delete_staging_and_head_branches.yaml,0,0,2016,public,main,branch,2678cafb8ac7a468d98ab735aa20eb7ac69b03af,commit,workflow,https://github.com/github/advisory-database/blob/2678cafb8ac7a468d98ab735aa20eb7ac69b03af/.github/workflows/delete_staging_and_head_branches.yaml,1,,,"pull_request_target,workflow_dispatch"
github,advisory-database,.github/workflows/stale.yaml,0,0,2016,public,main,branch,2678cafb8ac7a468d98ab735aa20eb7ac69b03af,commit,workflow,https://github.com/github/advisory-database/blob/2678cafb8ac7a468d98ab735aa20eb7ac69b03af/.github/workflows/stale.yaml,1,,,schedule
github,ai-assessment-comment-labeler,.github/workflows/ai-issue-assessment.yml,0,0,63,public,main,branch,a29876208a805048b198ff9e055100b1b23f9db4,commit,workflow,https://github.com/github/ai-assessment-comment-labeler/blob/a29876208a805048b198ff9e055100b1b23f9db4/.github/workflows/ai-issue-assessment.yml,1,,,issues
