repo_name,workflow_path,workflow_type,visibility,archived,forked,reusable_workflow,workflow_url,repo_url,missing_repo,missing_url
CLIP,test.yml,workflow,public,0,0,0,https://github.com/openai/CLIP/blob/main/.github/workflows/test.yml,https://github.com/openai/CLIP,conda-incubator/setup-miniconda@1bff120c1ad2d5f86a1099b0df16632c8da52988,https://github.com/conda-incubator/setup-miniconda/blob/1bff120c1ad2d5f86a1099b0df16632c8da52988/
azure-cli,AddPRComment.yml,workflow,public,1,1,0,https://github.com/openai/azure-cli/blob/dev/.github/workflows/AddPRComment.yml,https://github.com/openai/azure-cli,mshick/add-pr-comment@c96a9caed2a8cc0ed55e1f105725e383d63569d0,https://github.com/mshick/add-pr-comment/blob/c96a9caed2a8cc0ed55e1f105725e383d63569d0/
chatkit-js,ci.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/ci.yml,https://github.com/openai/chatkit-js,pnpm/action-setup@02f6c237bd2518259fed6c71566509edfb3f2b74,https://github.com/pnpm/action-setup/blob/02f6c237bd2518259fed6c71566509edfb3f2b74/
chatkit-js,docs.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/docs.yml,https://github.com/openai/chatkit-js,pnpm/action-setup@02f6c237bd2518259fed6c71566509edfb3f2b74,https://github.com/pnpm/action-setup/blob/02f6c237bd2518259fed6c71566509edfb3f2b74/
chatkit-js,release.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/release.yml,https://github.com/openai/chatkit-js,pnpm/action-setup@02f6c237bd2518259fed6c71566509edfb3f2b74,https://github.com/pnpm/action-setup/blob/02f6c237bd2518259fed6c71566509edfb3f2b74/
chatkit-python,ci.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/ci.yml,https://github.com/openai/chatkit-python,astral-sh/setup-uv@e58605a9b6da7c637471fab8847a5e5a6b8df081,https://github.com/astral-sh/setup-uv/blob/e58605a9b6da7c637471fab8847a5e5a6b8df081/
chatkit-python,docs.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/docs.yml,https://github.com/openai/chatkit-python,astral-sh/setup-uv@e58605a9b6da7c637471fab8847a5e5a6b8df081,https://github.com/astral-sh/setup-uv/blob/e58605a9b6da7c637471fab8847a5e5a6b8df081/
chatkit-python,release.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/release.yml,https://github.com/openai/chatkit-python,astral-sh/setup-uv@e58605a9b6da7c637471fab8847a5e5a6b8df081,https://github.com/astral-sh/setup-uv/blob/e58605a9b6da7c637471fab8847a5e5a6b8df081/
codex,cargo-deny.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/cargo-deny.yml,https://github.com/openai/codex,EmbarkStudios/cargo-deny-action@82eb9f621fbc699dd0918f3ea06864c14cc84246,https://github.com/EmbarkStudios/cargo-deny-action/blob/82eb9f621fbc699dd0918f3ea06864c14cc84246/
codex,ci.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/ci.yml,https://github.com/openai/codex,pnpm/action-setup@a8198c4bff370c8506180b035930dea56dbd5288,https://github.com/pnpm/action-setup/blob/a8198c4bff370c8506180b035930dea56dbd5288/
