org,repo,workflow,ref,url,runner,self_hosted,supported
openai,CLIP,.github/workflows/test.yml,main,https://github.com/openai/CLIP/blob/dcba3cb2e2827b402d2701e7e1c7d9fed8a20ef1/.github/workflows/test.yml,ubuntu-latest,0,1
openai,GPT-3-Encoder,.github/workflows/node.js.yml,master,https://github.com/openai/GPT-3-Encoder/blob/79387f4643d44117b67e55006acdeb758edd9e5d/.github/workflows/node.js.yml,ubuntu-latest,0,1
openai,azure-cli,.github/workflows/AddIssueComment.yml,dev,https://github.com/openai/azure-cli/blob/d6f00798c2306a15ff6e68e7ee2f875eab3d88dc/.github/workflows/AddIssueComment.yml,ubuntu-20.04,0,1
openai,azure-cli,.github/workflows/AddPRComment.yml,dev,https://github.com/openai/azure-cli/blob/d6f00798c2306a15ff6e68e7ee2f875eab3d88dc/.github/workflows/AddPRComment.yml,ubuntu-20.04,0,1
openai,bugbounty-gpt,.github/workflows/python-app.yml,main,https://github.com/openai/bugbounty-gpt/blob/3189ea2286b072aed0ff4dc8cee38c6d607b4de1/.github/workflows/python-app.yml,ubuntu-latest,0,1
openai,chatkit-js,.github/workflows/ci.yml,main,https://github.com/openai/chatkit-js/blob/afbb5ddb681e707510fcead80c0084facc630b31/.github/workflows/ci.yml,ubuntu-latest,0,1
openai,chatkit-js,.github/workflows/docs.yml,main,https://github.com/openai/chatkit-js/blob/afbb5ddb681e707510fcead80c0084facc630b31/.github/workflows/docs.yml,ubuntu-latest,0,1
openai,chatkit-js,.github/workflows/release.yml,main,https://github.com/openai/chatkit-js/blob/afbb5ddb681e707510fcead80c0084facc630b31/.github/workflows/release.yml,ubuntu-latest,0,1
openai,chatkit-python,.github/workflows/ci.yml,main,https://github.com/openai/chatkit-python/blob/71966ad024ec89e56ae4767b4d8c7e4fdb652a16/.github/workflows/ci.yml,ubuntu-latest,0,1
openai,chatkit-python,.github/workflows/docs.yml,main,https://github.com/openai/chatkit-python/blob/71966ad024ec89e56ae4767b4d8c7e4fdb652a16/.github/workflows/docs.yml,ubuntu-latest,0,1
openai,chatkit-python,.github/workflows/release.yml,main,https://github.com/openai/chatkit-python/blob/71966ad024ec89e56ae4767b4d8c7e4fdb652a16/.github/workflows/release.yml,ubuntu-latest,0,1
openai,codex-action,.github/workflows/ci.yml,main,https://github.com/openai/codex-action/blob/0cb7e270ce49747f8c51ebb61d1a169ed67b5764/.github/workflows/ci.yml,ubuntu-latest,0,1
openai,codex-action,.github/workflows/cla.yml,main,https://github.com/openai/codex-action/blob/0cb7e270ce49747f8c51ebb61d1a169ed67b5764/.github/workflows/cla.yml,ubuntu-latest,0,1
openai,codex-universal,.github/workflows/build-image.yml,main,https://github.com/openai/codex-universal/blob/3d177dd3c9f1653f2ad60f1c1e30dbe0acbd8e9e/.github/workflows/build-image.yml,ubuntu-24.04,0,1
openai,codex-universal,.github/workflows/build-image.yml,main,https://github.com/openai/codex-universal/blob/3d177dd3c9f1653f2ad60f1c1e30dbe0acbd8e9e/.github/workflows/build-image.yml,ubuntu-24.04-arm,0,1
openai,codex-universal,.github/workflows/build-image.yml,main,https://github.com/openai/codex-universal/blob/3d177dd3c9f1653f2ad60f1c1e30dbe0acbd8e9e/.github/workflows/build-image.yml,ubuntu-latest,0,1
openai,codex,.github/workflows/ci.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/ci.yml,ubuntu-latest,0,1
openai,codex,.github/workflows/cla.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/cla.yml,ubuntu-latest,0,1
openai,codex,.github/workflows/codespell.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/codespell.yml,ubuntu-latest,0,1
openai,codex,.github/workflows/issue-deduplicator.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/issue-deduplicator.yml,ubuntu-latest,0,1
openai,codex,.github/workflows/issue-labeler.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/issue-labeler.yml,ubuntu-latest,0,1
openai,codex,.github/workflows/rust-ci.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/rust-ci.yml,macos-14,0,1
openai,codex,.github/workflows/rust-ci.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/rust-ci.yml,ubuntu-24.04,0,1
openai,codex,.github/workflows/rust-ci.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/rust-ci.yml,ubuntu-24.04-arm,0,1
openai,codex,.github/workflows/rust-ci.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/rust-ci.yml,windows-11-arm,0,1
openai,codex,.github/workflows/rust-ci.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/rust-ci.yml,windows-latest,0,1
openai,codex,.github/workflows/rust-release.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/rust-release.yml,macos-14,0,1
openai,codex,.github/workflows/rust-release.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/rust-release.yml,ubuntu-24.04,0,1
openai,codex,.github/workflows/rust-release.yml,main,https://github.com/openai/codex/blob/98c6dfa53711c499a989309c30b0fe38bfa54590/.github/workflows/rust-release.yml,ubuntu-24.04-arm,0,1
