repo_name,workflow_path,job_name,runner,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
CLIP,test.yml,CLIP-test,ubuntu-latest,public,0,0,0,https://github.com/openai/CLIP/blob/main/.github/workflows/test.yml,https://github.com/openai/CLIP
GABRIEL,cla.yml,CLAAssistant,ubuntu-latest,public,0,0,0,https://github.com/openai/GABRIEL/blob/main/.github/workflows/cla.yml,https://github.com/openai/GABRIEL
GABRIEL,release.yml,build,ubuntu-latest,public,0,0,0,https://github.com/openai/GABRIEL/blob/main/.github/workflows/release.yml,https://github.com/openai/GABRIEL
GABRIEL,release.yml,publish,ubuntu-latest,public,0,0,0,https://github.com/openai/GABRIEL/blob/main/.github/workflows/release.yml,https://github.com/openai/GABRIEL
GPT-3-Encoder,node.js.yml,build,ubuntu-latest,public,1,1,0,https://github.com/openai/GPT-3-Encoder/blob/master/.github/workflows/node.js.yml,https://github.com/openai/GPT-3-Encoder
apps-sdk-ui,deploy-storybook.yml,build,ubuntu-latest,public,0,0,0,https://github.com/openai/apps-sdk-ui/blob/main/.github/workflows/deploy-storybook.yml,https://github.com/openai/apps-sdk-ui
apps-sdk-ui,deploy-storybook.yml,deploy,ubuntu-latest,public,0,0,0,https://github.com/openai/apps-sdk-ui/blob/main/.github/workflows/deploy-storybook.yml,https://github.com/openai/apps-sdk-ui
apps-sdk-ui,publish.yml,publish,ubuntu-latest,public,0,0,0,https://github.com/openai/apps-sdk-ui/blob/main/.github/workflows/publish.yml,https://github.com/openai/apps-sdk-ui
azure-cli,AddIssueComment.yml,thank-user,ubuntu-20.04,public,1,1,0,https://github.com/openai/azure-cli/blob/dev/.github/workflows/AddIssueComment.yml,https://github.com/openai/azure-cli
azure-cli,AddPRComment.yml,thank-user,ubuntu-20.04,public,1,1,0,https://github.com/openai/azure-cli/blob/dev/.github/workflows/AddPRComment.yml,https://github.com/openai/azure-cli
bugbounty-gpt,python-app.yml,build,ubuntu-latest,public,0,0,0,https://github.com/openai/bugbounty-gpt/blob/main/.github/workflows/python-app.yml,https://github.com/openai/bugbounty-gpt
chatkit-js,ci.yml,ci,ubuntu-latest,public,0,0,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/ci.yml,https://github.com/openai/chatkit-js
chatkit-js,docs.yml,deploy,ubuntu-latest,public,0,0,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/docs.yml,https://github.com/openai/chatkit-js
chatkit-js,release.yml,release,ubuntu-latest,public,0,0,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/release.yml,https://github.com/openai/chatkit-js
chatkit-python,ci.yml,ci,ubuntu-latest,public,0,0,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/ci.yml,https://github.com/openai/chatkit-python
chatkit-python,docs.yml,deploy,ubuntu-latest,public,0,0,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/docs.yml,https://github.com/openai/chatkit-python
chatkit-python,release.yml,release,ubuntu-latest,public,0,0,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/release.yml,https://github.com/openai/chatkit-python
codex,bazel.yml,test,macos-15-xlarge,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/bazel.yml,https://github.com/openai/codex
codex,bazel.yml,test,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/bazel.yml,https://github.com/openai/codex
codex,bazel.yml,test-windows,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/bazel.yml,https://github.com/openai/codex
codex,bazel.yml,test-windows-native-main,group-and-labels,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/bazel.yml,https://github.com/openai/codex
codex,bazel.yml,test-windows-shard,group-and-labels,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/bazel.yml,https://github.com/openai/codex
codex,blob-size-policy.yml,check,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/blob-size-policy.yml,https://github.com/openai/codex
codex,cargo-deny.yml,cargo-deny,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/cargo-deny.yml,https://github.com/openai/codex
codex,ci.yml,build-test,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/ci.yml,https://github.com/openai/codex
codex,cla.yml,cla,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/cla.yml,https://github.com/openai/codex
codex,close-stale-contributor-prs.yml,close-stale-contributor-prs,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/close-stale-contributor-prs.yml,https://github.com/openai/codex
codex,codespell.yml,codespell,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/codespell.yml,https://github.com/openai/codex
codex,issue-deduplicator.yml,comment-on-issue,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/issue-deduplicator.yml,https://github.com/openai/codex
codex,issue-deduplicator.yml,gather-duplicates-all,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/issue-deduplicator.yml,https://github.com/openai/codex
codex,issue-deduplicator.yml,gather-duplicates-open,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/issue-deduplicator.yml,https://github.com/openai/codex
codex,issue-deduplicator.yml,normalize-duplicates-all,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/issue-deduplicator.yml,https://github.com/openai/codex
codex,issue-deduplicator.yml,normalize-duplicates-open,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/issue-deduplicator.yml,https://github.com/openai/codex
codex,issue-deduplicator.yml,select-final,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/issue-deduplicator.yml,https://github.com/openai/codex
codex,issue-labeler.yml,apply-labels,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/issue-labeler.yml,https://github.com/openai/codex
codex,issue-labeler.yml,gather-labels,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/issue-labeler.yml,https://github.com/openai/codex
codex,issue-translator.yml,apply-translation,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/issue-translator.yml,https://github.com/openai/codex
codex,issue-translator.yml,translate-issue,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/issue-translator.yml,https://github.com/openai/codex
codex,python-runtime-build.yml,build-python-runtime,ubuntu-latest,public,0,0,1,https://github.com/openai/codex/blob/main/.github/workflows/python-runtime-build.yml,https://github.com/openai/codex
codex,python-runtime-release.yml,publish-python-runtime,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/python-runtime-release.yml,https://github.com/openai/codex
codex,python-sdk-release.yml,build-python-sdk,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/python-sdk-release.yml,https://github.com/openai/codex
codex,python-sdk-release.yml,publish-python-runtime,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/python-sdk-release.yml,https://github.com/openai/codex
codex,python-sdk-release.yml,publish-python-sdk,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/python-sdk-release.yml,https://github.com/openai/codex
codex,python-sdk-release.yml,resolve-python-release,ubuntu-latest,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/python-sdk-release.yml,https://github.com/openai/codex
codex,rust-ci-full-nextest-platform.yml,result,ubuntu-24.04,public,0,0,1,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full-nextest-platform.yml,https://github.com/openai/codex
codex,rust-ci-full.yml,argument_comment_lint_package,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full.yml,https://github.com/openai/codex
codex,rust-ci-full.yml,cargo_shear,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full.yml,https://github.com/openai/codex
codex,rust-ci-full.yml,general,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full.yml,https://github.com/openai/codex
codex,rust-ci-full.yml,results,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full.yml,https://github.com/openai/codex
codex,rust-ci.yml,argument_comment_lint_package,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci.yml,https://github.com/openai/codex
codex,rust-ci.yml,cargo_shear,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci.yml,https://github.com/openai/codex
codex,rust-ci.yml,changed,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci.yml,https://github.com/openai/codex
codex,rust-ci.yml,general,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci.yml,https://github.com/openai/codex
codex,rust-ci.yml,results,ubuntu-24.04,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci.yml,https://github.com/openai/codex
