third_party_org_name,third_party_repo_name,third_party_ref,third_party_repo_fullname,third_party_ref_type,third_party_url,third_party_archived,third_parth_forked,third_party_stars,repo_name,workflow_path,workflow_type,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
EmbarkStudios,cargo-deny-action,82eb9f621fbc699dd0918f3ea06864c14cc84246,EmbarkStudios/cargo-deny-action@82eb9f621fbc699dd0918f3ea06864c14cc84246,commit,https://github.com/EmbarkStudios/cargo-deny-action/blob/82eb9f621fbc699dd0918f3ea06864c14cc84246/,0,0,188,codex,cargo-deny.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/cargo-deny.yml,https://github.com/openai/codex
NuGet,login,ebc737b6fc418a6ca0073cf116ec8dc156d8b81e,NuGet/login@ebc737b6fc418a6ca0073cf116ec8dc156d8b81e,commit,https://github.com/NuGet/login/blob/ebc737b6fc418a6ca0073cf116ec8dc156d8b81e/,0,0,12,openai-dotnet,release.yml,workflow,public,0,0,0,https://github.com/openai/openai-dotnet/blob/main/.github/workflows/release.yml,https://github.com/openai/openai-dotnet
PyO3,maturin-action,db323e2cf5679b7feb8bcb561a36b27a0bc19e79,PyO3/maturin-action@db323e2cf5679b7feb8bcb561a36b27a0bc19e79,commit,https://github.com/PyO3/maturin-action/blob/db323e2cf5679b7feb8bcb561a36b27a0bc19e79/,0,0,186,harmony,CI.yml,workflow,public,0,0,0,https://github.com/openai/harmony/blob/main/.github/workflows/CI.yml,https://github.com/openai/harmony
actions,attest-build-provenance,96b4a1ef7235a096b17240c259729fdd70c83d45,actions/attest-build-provenance@96b4a1ef7235a096b17240c259729fdd70c83d45,commit,https://github.com/actions/attest-build-provenance/blob/96b4a1ef7235a096b17240c259729fdd70c83d45/,0,0,961,codex-universal,build-image.yml,workflow,public,0,0,0,https://github.com/openai/codex-universal/blob/main/.github/workflows/build-image.yml,https://github.com/openai/codex-universal
actions,attest-build-provenance,96b4a1ef7235a096b17240c259729fdd70c83d45,actions/attest-build-provenance@96b4a1ef7235a096b17240c259729fdd70c83d45,commit,https://github.com/actions/attest-build-provenance/blob/96b4a1ef7235a096b17240c259729fdd70c83d45/,0,0,961,harmony,CI.yml,workflow,public,0,0,0,https://github.com/openai/harmony/blob/main/.github/workflows/CI.yml,https://github.com/openai/harmony
actions,attest-build-provenance,a2bbfa25375fe432b6a289bc6b6cd05ecd0c4c32,actions/attest-build-provenance@a2bbfa25375fe432b6a289bc6b6cd05ecd0c4c32,commit,https://github.com/actions/attest-build-provenance/blob/a2bbfa25375fe432b6a289bc6b6cd05ecd0c4c32/action.yml,0,0,961,openai-cli,publish-release.yml,workflow,public,0,0,0,https://github.com/openai/openai-cli/blob/main/.github/workflows/publish-release.yml,https://github.com/openai/openai-cli
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/save/action.yml,0,0,5432,codex,bazel.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/bazel.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/save/action.yml,0,0,5432,codex,rust-ci-full-nextest-platform.yml,workflow,public,0,0,1,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full-nextest-platform.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/restore/action.yml,0,0,5432,codex,rust-ci-full-nextest-platform.yml,workflow,public,0,0,1,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full-nextest-platform.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/save/action.yml,0,0,5432,codex,rust-ci-full.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/save/action.yml,0,0,5432,codex,rust-ci-full.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/action.yml,0,0,5432,codex,rust-ci-full.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/restore/action.yml,0,0,5432,codex,rust-ci-full.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/restore/action.yml,0,0,5432,codex,rust-ci-full.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci-full.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/action.yml,0,0,5432,codex,rust-ci.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rust-ci.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/action.yml,0,0,5432,codex,rusty-v8-release.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/rusty-v8-release.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/save/action.yml,0,0,5432,codex,sdk.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/sdk.yml,https://github.com/openai/codex
actions,cache,668228422ae6a00e4ad889ee87cd7109ec5666a7,actions/cache@668228422ae6a00e4ad889ee87cd7109ec5666a7,commit,https://github.com/actions/cache/blob/668228422ae6a00e4ad889ee87cd7109ec5666a7/action.yml,0,0,5432,codex,v8-canary.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/v8-canary.yml,https://github.com/openai/codex
actions,cache,8492260343ad570701412c2f464a5877dc76bace,actions/cache@8492260343ad570701412c2f464a5877dc76bace,commit,https://github.com/actions/cache/blob/8492260343ad570701412c2f464a5877dc76bace/action.yml,0,0,5432,procgen,main.yml,workflow,public,0,0,0,https://github.com/openai/procgen/blob/master/.github/workflows/main.yml,https://github.com/openai/procgen
actions,cache,0057852bfaa89a56745cba8c7296529d2fc39830,actions/cache@0057852bfaa89a56745cba8c7296529d2fc39830,commit,https://github.com/actions/cache/blob/0057852bfaa89a56745cba8c7296529d2fc39830/action.yml,0,0,5432,symphony,make-all.yml,workflow,public,0,0,0,https://github.com/openai/symphony/blob/main/.github/workflows/make-all.yml,https://github.com/openai/symphony
actions,cache,0057852bfaa89a56745cba8c7296529d2fc39830,actions/cache@0057852bfaa89a56745cba8c7296529d2fc39830,commit,https://github.com/actions/cache/blob/0057852bfaa89a56745cba8c7296529d2fc39830/action.yml,0,0,5432,whisper,test.yml,workflow,public,0,0,0,https://github.com/openai/whisper/blob/main/.github/workflows/test.yml,https://github.com/openai/whisper
actions,checkout,34e114876b0b11c390a56381ad16ebd13914f8d5,actions/checkout@34e114876b0b11c390a56381ad16ebd13914f8d5,commit,https://github.com/actions/checkout/blob/34e114876b0b11c390a56381ad16ebd13914f8d5/action.yml,0,0,8019,apps-sdk-ui,deploy-storybook.yml,workflow,public,0,0,0,https://github.com/openai/apps-sdk-ui/blob/main/.github/workflows/deploy-storybook.yml,https://github.com/openai/apps-sdk-ui
actions,checkout,34e114876b0b11c390a56381ad16ebd13914f8d5,actions/checkout@34e114876b0b11c390a56381ad16ebd13914f8d5,commit,https://github.com/actions/checkout/blob/34e114876b0b11c390a56381ad16ebd13914f8d5/action.yml,0,0,8019,apps-sdk-ui,publish.yml,workflow,public,0,0,0,https://github.com/openai/apps-sdk-ui/blob/main/.github/workflows/publish.yml,https://github.com/openai/apps-sdk-ui
actions,checkout,v3,actions/checkout@v3,tag,https://github.com/actions/checkout/blob/v3/action.yml,0,0,8019,bugbounty-gpt,python-app.yml,workflow,public,0,0,0,https://github.com/openai/bugbounty-gpt/blob/main/.github/workflows/python-app.yml,https://github.com/openai/bugbounty-gpt
actions,checkout,34e114876b0b11c390a56381ad16ebd13914f8d5,actions/checkout@34e114876b0b11c390a56381ad16ebd13914f8d5,commit,https://github.com/actions/checkout/blob/34e114876b0b11c390a56381ad16ebd13914f8d5/action.yml,0,0,8019,chatkit-js,ci.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/ci.yml,https://github.com/openai/chatkit-js
actions,checkout,34e114876b0b11c390a56381ad16ebd13914f8d5,actions/checkout@34e114876b0b11c390a56381ad16ebd13914f8d5,commit,https://github.com/actions/checkout/blob/34e114876b0b11c390a56381ad16ebd13914f8d5/action.yml,0,0,8019,chatkit-js,docs.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/docs.yml,https://github.com/openai/chatkit-js
actions,checkout,93cb6efe18208431cddfb8368fd83d5badbf9bfd,actions/checkout@93cb6efe18208431cddfb8368fd83d5badbf9bfd,commit,https://github.com/actions/checkout/blob/93cb6efe18208431cddfb8368fd83d5badbf9bfd/action.yml,0,0,8019,chatkit-js,release.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/release.yml,https://github.com/openai/chatkit-js
actions,checkout,de0fac2e4500dabe0009e67214ff5f5447ce83dd,actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,https://github.com/actions/checkout/blob/de0fac2e4500dabe0009e67214ff5f5447ce83dd/action.yml,0,0,8019,chatkit-python,ci.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/ci.yml,https://github.com/openai/chatkit-python
actions,checkout,de0fac2e4500dabe0009e67214ff5f5447ce83dd,actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,https://github.com/actions/checkout/blob/de0fac2e4500dabe0009e67214ff5f5447ce83dd/action.yml,0,0,8019,chatkit-python,docs.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/docs.yml,https://github.com/openai/chatkit-python
actions,checkout,de0fac2e4500dabe0009e67214ff5f5447ce83dd,actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,https://github.com/actions/checkout/blob/de0fac2e4500dabe0009e67214ff5f5447ce83dd/action.yml,0,0,8019,chatkit-python,release.yml,workflow,public,0,0,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/release.yml,https://github.com/openai/chatkit-python
actions,checkout,ee0669bd1cc54295c223e0bb666b733df41de1c5,actions/checkout@ee0669bd1cc54295c223e0bb666b733df41de1c5,commit,https://github.com/actions/checkout/blob/ee0669bd1cc54295c223e0bb666b733df41de1c5/action.yml,0,0,8019,CLIP,test.yml,workflow,public,0,0,0,https://github.com/openai/CLIP/blob/main/.github/workflows/test.yml,https://github.com/openai/CLIP
actions,checkout,de0fac2e4500dabe0009e67214ff5f5447ce83dd,actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,https://github.com/actions/checkout/blob/de0fac2e4500dabe0009e67214ff5f5447ce83dd/action.yml,0,0,8019,codex,bazel.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/bazel.yml,https://github.com/openai/codex
actions,checkout,de0fac2e4500dabe0009e67214ff5f5447ce83dd,actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,https://github.com/actions/checkout/blob/de0fac2e4500dabe0009e67214ff5f5447ce83dd/action.yml,0,0,8019,codex,blob-size-policy.yml,workflow,public,0,0,0,https://github.com/openai/codex/blob/main/.github/workflows/blob-size-policy.yml,https://github.com/openai/codex
