org,name,type
openai,APPLE_CERTIFICATE_P12,secret
openai,APPLE_CERTIFICATE_PASSWORD,secret
openai,APPLE_NOTARIZATION_ISSUER_ID,secret
openai,APPLE_NOTARIZATION_KEY_ID,secret
openai,APPLE_NOTARIZATION_KEY_P8,secret
openai,AWS_S3_UPDATE_ACCESS_KEY_ID,secret
openai,AWS_S3_UPDATE_SECRET_ACCESS_KEY,secret
openai,CLI_BOT,secret
openai,CODEX_OPENAI_API_KEY,secret
openai,GEM_HOST_API_KEY,secret
openai,GHCR_PAT,secret
openai,GPG_PRIVATE_KEY,secret
openai,GPG_PRIVATE_PASSWORD,secret
openai,GPG_SIGNING_KEY,secret
openai,GPG_SIGNING_PASSWORD,secret
openai,NPM_TOKEN,secret
openai,NUGET_API_KEY,secret
openai,OPENAI_API_KEY,secret
openai,OPENAI_GEM_HOST_API_KEY,secret
openai,OPENAI_NPM_TOKEN,secret
openai,OPENAI_PYPI_TOKEN,secret
openai,OPENAI_RUBYGEMS_HOST,secret
openai,OPENAI_SONATYPE_GPG_SIGNING_KEY,secret
openai,OPENAI_SONATYPE_GPG_SIGNING_PASSWORD,secret
openai,OPENAI_SONATYPE_PASSWORD,secret
openai,OPENAI_SONATYPE_USERNAME,secret
openai,PROD_OPENAI_API_KEY,secret
openai,PROMBENCH_GKE_AUTH,secret
openai,PYPI_API_TOKEN,secret
openai,PYPI_TOKEN,secret
openai,RUBYGEMS_HOST,secret
openai,SCRIBE_GRAPHQL_ACCESS_TOKEN,secret
openai,SONATYPE_PASSWORD,secret
openai,SONATYPE_USERNAME,secret
openai,STAINLESS_API_KEY,secret
openai,WEBSITE_DEPLOY_HOOK_URL,secret
