repo_name,workflow_path,workflow_type,visibility,archived,forked,total_jobs,reusable_workflow,workflow_url,repo_url
CLIP,test.yml,workflow,public,0,0,1,0,https://github.com/openai/CLIP/blob/main/.github/workflows/test.yml,https://github.com/openai/CLIP
GABRIEL,cla.yml,workflow,public,0,0,1,0,https://github.com/openai/GABRIEL/blob/main/.github/workflows/cla.yml,https://github.com/openai/GABRIEL
GABRIEL,release.yml,workflow,public,0,0,2,0,https://github.com/openai/GABRIEL/blob/main/.github/workflows/release.yml,https://github.com/openai/GABRIEL
GPT-3-Encoder,node.js.yml,workflow,public,1,1,1,0,https://github.com/openai/GPT-3-Encoder/blob/master/.github/workflows/node.js.yml,https://github.com/openai/GPT-3-Encoder
apps-sdk-ui,deploy-storybook.yml,workflow,public,0,0,2,0,https://github.com/openai/apps-sdk-ui/blob/main/.github/workflows/deploy-storybook.yml,https://github.com/openai/apps-sdk-ui
apps-sdk-ui,publish.yml,workflow,public,0,0,1,0,https://github.com/openai/apps-sdk-ui/blob/main/.github/workflows/publish.yml,https://github.com/openai/apps-sdk-ui
azure-cli,AddIssueComment.yml,workflow,public,1,1,1,0,https://github.com/openai/azure-cli/blob/dev/.github/workflows/AddIssueComment.yml,https://github.com/openai/azure-cli
azure-cli,AddPRComment.yml,workflow,public,1,1,1,0,https://github.com/openai/azure-cli/blob/dev/.github/workflows/AddPRComment.yml,https://github.com/openai/azure-cli
bugbounty-gpt,python-app.yml,workflow,public,0,0,1,0,https://github.com/openai/bugbounty-gpt/blob/main/.github/workflows/python-app.yml,https://github.com/openai/bugbounty-gpt
chatkit-js,ci.yml,workflow,public,0,0,1,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/ci.yml,https://github.com/openai/chatkit-js
chatkit-js,docs.yml,workflow,public,0,0,1,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/docs.yml,https://github.com/openai/chatkit-js
chatkit-js,release.yml,workflow,public,0,0,1,0,https://github.com/openai/chatkit-js/blob/main/.github/workflows/release.yml,https://github.com/openai/chatkit-js
chatkit-python,ci.yml,workflow,public,0,0,1,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/ci.yml,https://github.com/openai/chatkit-python
chatkit-python,docs.yml,workflow,public,0,0,1,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/docs.yml,https://github.com/openai/chatkit-python
chatkit-python,release.yml,workflow,public,0,0,1,0,https://github.com/openai/chatkit-python/blob/main/.github/workflows/release.yml,https://github.com/openai/chatkit-python
codex,.github/actions/linux-code-sign/action.yml,action,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/actions/linux-code-sign/action.yml,https://github.com/openai/codex
codex,.github/actions/prepare-bazel-ci/action.yml,action,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/actions/prepare-bazel-ci/action.yml,https://github.com/openai/codex
codex,.github/actions/run-argument-comment-lint/action.yml,action,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/actions/run-argument-comment-lint/action.yml,https://github.com/openai/codex
codex,.github/actions/setup-akv-pkcs11-codesigning/action.yaml,action,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/actions/setup-akv-pkcs11-codesigning/action.yaml,https://github.com/openai/codex
codex,.github/actions/setup-bazel-ci/action.yml,action,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/actions/setup-bazel-ci/action.yml,https://github.com/openai/codex
codex,.github/actions/setup-msvc-env/action.yml,action,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/actions/setup-msvc-env/action.yml,https://github.com/openai/codex
codex,.github/actions/setup-rusty-v8/action.yml,action,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/actions/setup-rusty-v8/action.yml,https://github.com/openai/codex
codex,.github/actions/windows-code-sign/action.yml,action,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/actions/windows-code-sign/action.yml,https://github.com/openai/codex
codex,bazel.yml,workflow,public,0,0,6,0,https://github.com/openai/codex/blob/main/.github/workflows/bazel.yml,https://github.com/openai/codex
codex,blob-size-policy.yml,workflow,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/workflows/blob-size-policy.yml,https://github.com/openai/codex
codex,cargo-deny.yml,workflow,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/workflows/cargo-deny.yml,https://github.com/openai/codex
codex,ci.yml,workflow,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/workflows/ci.yml,https://github.com/openai/codex
codex,cla.yml,workflow,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/workflows/cla.yml,https://github.com/openai/codex
codex,close-stale-contributor-prs.yml,workflow,public,0,0,1,0,https://github.com/openai/codex/blob/main/.github/workflows/close-stale-contributor-prs.yml,https://github.com/openai/codex
