org,repo,workflow,fork,archived,stars,visibility,ref,ref_type,ref_resolved_to,ref_resolved_type,workflow_type,workflow_url,jobs_count,workflow_status,parent_workflows,event_triggers
openai,azure-cli,.github/workflows/AddIssueComment.yml,1,0,10,public,dev,branch,d6f00798c2306a15ff6e68e7ee2f875eab3d88dc,commit,workflow,https://github.com/openai/azure-cli/blob/d6f00798c2306a15ff6e68e7ee2f875eab3d88dc/.github/workflows/AddIssueComment.yml,1,,,issues
openai,azure-cli,.github/workflows/AddPRComment.yml,1,0,10,public,dev,branch,d6f00798c2306a15ff6e68e7ee2f875eab3d88dc,commit,workflow,https://github.com/openai/azure-cli/blob/d6f00798c2306a15ff6e68e7ee2f875eab3d88dc/.github/workflows/AddPRComment.yml,1,,,pull_request_target
openai,bugbounty-gpt,.github/workflows/python-app.yml,0,0,51,public,main,branch,3189ea2286b072aed0ff4dc8cee38c6d607b4de1,commit,workflow,https://github.com/openai/bugbounty-gpt/blob/3189ea2286b072aed0ff4dc8cee38c6d607b4de1/.github/workflows/python-app.yml,1,,,"push,pull_request"
openai,chatkit-js,.github/workflows/ci.yml,0,0,1561,public,main,branch,6cb8948acfc2f3bc6c08a15feb8234577ca587d0,commit,workflow,https://github.com/openai/chatkit-js/blob/6cb8948acfc2f3bc6c08a15feb8234577ca587d0/.github/workflows/ci.yml,1,,,"pull_request,workflow_dispatch,merge_group"
openai,chatkit-js,.github/workflows/docs.yml,0,0,1561,public,main,branch,6cb8948acfc2f3bc6c08a15feb8234577ca587d0,commit,workflow,https://github.com/openai/chatkit-js/blob/6cb8948acfc2f3bc6c08a15feb8234577ca587d0/.github/workflows/docs.yml,1,,,"push,workflow_dispatch"
openai,chatkit-js,.github/workflows/release.yml,0,0,1561,public,main,branch,6cb8948acfc2f3bc6c08a15feb8234577ca587d0,commit,workflow,https://github.com/openai/chatkit-js/blob/6cb8948acfc2f3bc6c08a15feb8234577ca587d0/.github/workflows/release.yml,1,,,"push,workflow_dispatch"
openai,chatkit-python,.github/workflows/ci.yml,0,0,290,public,main,branch,5c528d07380d5698a4fb7d2df6fec03ec71412b5,commit,workflow,https://github.com/openai/chatkit-python/blob/5c528d07380d5698a4fb7d2df6fec03ec71412b5/.github/workflows/ci.yml,1,,,"pull_request,workflow_dispatch,merge_group"
openai,chatkit-python,.github/workflows/docs.yml,0,0,290,public,main,branch,5c528d07380d5698a4fb7d2df6fec03ec71412b5,commit,workflow,https://github.com/openai/chatkit-python/blob/5c528d07380d5698a4fb7d2df6fec03ec71412b5/.github/workflows/docs.yml,1,,,"push,workflow_dispatch"
openai,chatkit-python,.github/workflows/release.yml,0,0,290,public,main,branch,5c528d07380d5698a4fb7d2df6fec03ec71412b5,commit,workflow,https://github.com/openai/chatkit-python/blob/5c528d07380d5698a4fb7d2df6fec03ec71412b5/.github/workflows/release.yml,1,,,"release,workflow_dispatch"
openai,CLIP,.github/workflows/test.yml,0,0,31461,public,main,branch,dcba3cb2e2827b402d2701e7e1c7d9fed8a20ef1,commit,workflow,https://github.com/openai/CLIP/blob/dcba3cb2e2827b402d2701e7e1c7d9fed8a20ef1/.github/workflows/test.yml,1,,,"push,pull_request"
openai,codex,.github/workflows/ci.yml,0,0,50035,public,main,branch,a47181e471b6efe55e95f9858c913fc89a3a44fa,commit,workflow,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/ci.yml,1,,,"pull_request,push"
openai,codex,.github/workflows/cla.yml,0,0,50035,public,main,branch,a47181e471b6efe55e95f9858c913fc89a3a44fa,commit,workflow,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/cla.yml,1,,,"issue_comment,pull_request_target"
openai,codex,.github/workflows/codespell.yml,0,0,50035,public,main,branch,a47181e471b6efe55e95f9858c913fc89a3a44fa,commit,workflow,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/codespell.yml,1,,,"push,pull_request"
openai,codex,.github/workflows/issue-deduplicator.yml,0,0,50035,public,main,branch,a47181e471b6efe55e95f9858c913fc89a3a44fa,commit,workflow,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/issue-deduplicator.yml,2,,,issues
openai,codex,.github/workflows/issue-labeler.yml,0,0,50035,public,main,branch,a47181e471b6efe55e95f9858c913fc89a3a44fa,commit,workflow,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/issue-labeler.yml,2,,,issues
openai,codex,.github/workflows/rust-ci.yml,0,0,50035,public,main,branch,a47181e471b6efe55e95f9858c913fc89a3a44fa,commit,workflow,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/rust-ci.yml,6,,,"pull_request,push,workflow_dispatch"
openai,codex,.github/workflows/rust-release.yml,0,0,50035,public,main,branch,a47181e471b6efe55e95f9858c913fc89a3a44fa,commit,workflow,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/rust-release.yml,5,,,push
openai,codex,.github/workflows/sdk.yml,0,0,50035,public,main,branch,a47181e471b6efe55e95f9858c913fc89a3a44fa,commit,workflow,https://github.com/openai/codex/blob/a47181e471b6efe55e95f9858c913fc89a3a44fa/.github/workflows/sdk.yml,1,,,"push,pull_request"
